iy   id  it imin qn   qh   qe   qs   qf   U     RH    Tair  pres   rain kdown  snow ldown fcld wuh  xsmd lai  kdiff kdir wdir
2013 2   19 0    -999 -999 -999 -999 -999 3.21  87.5  10.2  101.71 0    0.28   -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 2   20 0    -999 -999 -999 -999 -999 3.41  87.69 10.62 101.75 0    0.22   -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 2   21 0    -999 -999 -999 -999 -999 3.86  87.34 10.95 101.8  0    0.24   -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 2   22 0    -999 -999 -999 -999 -999 4.27  85.53 11.25 101.87 0    0.06   -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 2   23 0    -999 -999 -999 -999 -999 4.38  84.77 11.27 101.88 0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 3   0  0    -999 -999 -999 -999 -999 4.73  84.62 11.26 101.95 0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 3   1  0    -999 -999 -999 -999 -999 4.58  85.36 11.07 102.01 0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 3   2  0    -999 -999 -999 -999 -999 4.04  85.62 10.93 102.05 0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 3   3  0    -999 -999 -999 -999 -999 4.8   86.25 10.82 102.1  0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 3   4  0    -999 -999 -999 -999 -999 4.33  86.66 10.78 102.15 0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 3   5  0    -999 -999 -999 -999 -999 4.17  86.5  10.6  102.19 0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 3   6  0    -999 -999 -999 -999 -999 4.48  87.16 10.24 102.22 0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 3   7  0    -999 -999 -999 -999 -999 4.25  88.31 9.98  102.28 0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 3   8  0    -999 -999 -999 -999 -999 4.46  88.06 10.09 102.36 0    0.14   -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 3   9  0    -999 -999 -999 -999 -999 4.72  86.75 10.43 102.42 0    16.54  -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 3   10 0    -999 -999 -999 -999 -999 5.12  84.47 10.56 102.49 0    55     -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 3   11 0    -999 -999 -999 -999 -999 5.04  83.15 10.69 102.54 0    95.7   -999 -999  -999 -999 -999 -999 -999  -999 -999
