  iy  id it imin     qn     qh     qe     qs     qf        U       RH     Tair     pres     rain    kdown   snow    ldown   fcld    Wuh   xsmd    lai  kdiff   kdir  wdir
2012   2  7    0 -999.0 -999.0 -999.0 -999.0 -999.0    4.026   77.651    6.057   99.803    0.000    0.000 -999.0  258.846 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  61.3
2012   2  8    0 -999.0 -999.0 -999.0 -999.0 -999.0    4.144   77.321    5.687   99.855    0.000    0.000 -999.0  256.018 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  54.4
2012   2  9    0 -999.0 -999.0 -999.0 -999.0 -999.0    4.846   77.076    5.517   99.958    0.000   21.443 -999.0  250.759 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  60.8
2012   2 10    0 -999.0 -999.0 -999.0 -999.0 -999.0    4.822   72.966    5.740  100.078    0.000  102.565 -999.0  251.086 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  70.1
2012   2 11    0 -999.0 -999.0 -999.0 -999.0 -999.0    4.344   69.217    6.333  100.165    0.000  182.223 -999.0  251.065 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  62.1
2012   2 12    0 -999.0 -999.0 -999.0 -999.0 -999.0    4.707   65.973    6.949  100.180    0.000  228.155 -999.0  250.808 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  58.8
2012   2 13    0 -999.0 -999.0 -999.0 -999.0 -999.0    5.131   62.148    7.367  100.223    0.000  227.100 -999.0  257.749 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  58.1
2012   2 14    0 -999.0 -999.0 -999.0 -999.0 -999.0    5.165   61.048    7.669  100.289    0.000  161.054 -999.0  279.789 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  59.2
2012   2 15    0 -999.0 -999.0 -999.0 -999.0 -999.0    5.117   61.301    7.723  100.330    0.000  104.225 -999.0  279.097 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  60.3
2012   2 16    0 -999.0 -999.0 -999.0 -999.0 -999.0    4.767   62.705    7.188  100.393    0.000   29.313 -999.0  266.559 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  58.4
