1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24		
Code	AlbedoMin	AlbedoMax	Emissivity	StorageMin	StorageMax	WetThreshold	StateLimit	DrainageEq	DrainageCoef1	DrainageCoef2	SoilTypeCode	SnowLimPatch	SnowLimRemove	OHMThresh_SW	OHMThresh_WD	ESTMCode	AnOHM_Cp	AnOHM_Kk	AnOHM_Ch	OHMCode_SummerWet	OHMCode_SummerDry	OHMCode_WinterWet	OHMCode_WinterDry		
20256071.0	0.09	0.09	0.9481122271811983	0.48	0.48	0.48	-999.0	3.0	10.0	3.0	22240040.0	190.0	90.0	10.0	0.9	-999.0	-999.0	-999.0	-999.0	50240001.0	50240001.0	50240001.0	50240001.0	!	Paved, aggregated from X(fraction) Y(fracion) Z(fraction). Used in Grid No. 10
20256721.0	0.09	0.09	0.9379820298608934	0.48	0.48	0.48	-999.0	3.0	10.0	3.0	22240040.0	190.0	90.0	10.0	0.9	-999.0	-999.0	-999.0	-999.0	50240001.0	50240001.0	50240001.0	50240001.0	!	Paved, aggregated from X(fraction) Y(fracion) Z(fraction). Used in Grid No. 1
20257031.0	0.12244329413016186	0.12244329413016186	0.9100000000000001	0.25	0.25	0.25	-999.0	3.0	10.0	3.0	22240040.0	190.0	90.0	10.0	0.9	-999.0	-999.0	-999.0	-999.0	50240002.0	50240002.0	50240002.0	50240002.0	!	Buildings, aggregated from X(fraction) Y(fracion) Z(fraction). Used in Grid No. 10
20257193.0	0.09	0.09	0.9255192908093064	0.48	0.48	0.48	-999.0	3.0	10.0	3.0	22240040.0	190.0	90.0	10.0	0.9	-999.0	-999.0	-999.0	-999.0	50240001.0	50240001.0	50240001.0	50240001.0	!	Paved, aggregated from X(fraction) Y(fracion) Z(fraction). Used in Grid No. 15
20258104.0	0.09	0.09	0.920443016111939	0.48	0.48	0.48	-999.0	3.0	10.0	3.0	22240040.0	190.0	90.0	10.0	0.9	-999.0	-999.0	-999.0	-999.0	50240001.0	50240001.0	50240001.0	50240001.0	!	Paved, aggregated from X(fraction) Y(fracion) Z(fraction). Used in Grid No. 6
20258218.0	0.09	0.09	0.9284425719742038	0.48000000000000004	0.48000000000000004	0.48000000000000004	-999.0	3.0	10.0	3.0	22240040.0	190.0	90.00000000000001	10.0	0.9	-999.0	-999.0	-999.0	-999.0	50240001.0	50240001.0	50240001.0	50240001.0	!	Paved, aggregated from X(fraction) Y(fracion) Z(fraction). Used in Grid No. 12
20258293.0	0.19298886647422164	0.19298886647422164	0.9100000000000001	0.25	0.25	0.25	-999.0	3.0	10.0	3.0	22240040.0	190.0	90.0	10.0	0.9	-999.0	-999.0	-999.0	-999.0	50240024.0	50240024.0	50240024.0	50240024.0	!	Buildings, aggregated from X(fraction) Y(fracion) Z(fraction). Used in Grid No. 15
20258376.0	0.17950895548334878	0.17950895548334878	0.9100000000000001	0.25	0.25	0.25	-999.0	3.0	10.0	3.0	22240040.0	190.0	90.0	10.0	0.9	-999.0	-999.0	-999.0	-999.0	50240024.0	50240024.0	50240024.0	50240024.0	!	Buildings, aggregated from X(fraction) Y(fracion) Z(fraction). Used in Grid No. 1
20258496.0	0.09	0.09	0.9285484456924893	0.48	0.48	0.48	-999.0	3.0	10.0	3.0	22240040.0	190.0	90.0	10.0	0.9	-999.0	-999.0	-999.0	-999.0	50240001.0	50240001.0	50240001.0	50240001.0	!	Paved, aggregated from X(fraction) Y(fracion) Z(fraction). Used in Grid No. 5
20259561.0	0.09	0.09	0.9277968510765501	0.48000000000000004	0.48000000000000004	0.48000000000000004	-999.0	3.0	10.0	3.0	22240040.0	190.00000000000003	90.00000000000003	10.0	0.9	-999.0	-999.0	-999.0	-999.0	50240001.0	50240001.0	50240001.0	50240001.0	!	Paved, aggregated from X(fraction) Y(fracion) Z(fraction). Used in Grid No. 9
20259855.0	0.1535551020667268	0.1535551020667268	0.91	0.25	0.25	0.25	-999.0	3.0	10.0	3.0	22240040.0	190.0	90.0	10.0	0.9	-999.0	-999.0	-999.0	-999.0	50240024.0	50240024.0	50240024.0	50240024.0	!	Buildings, aggregated from X(fraction) Y(fracion) Z(fraction). Used in Grid No. 6
20259946.0	0.1886556991275392	0.1886556991275392	0.9100000000000001	0.25	0.25	0.25	-999.0	3.0	10.0	3.0	22240040.0	190.0	90.0	10.0	0.9	-999.0	-999.0	-999.0	-999.0	50240024.0	50240024.0	50240024.0	50240024.0	!	Buildings, aggregated from X(fraction) Y(fracion) Z(fraction). Used in Grid No. 5
-9.0																									
-9.0																									
