 z  paib bScale paiv vScale 
  0 0.229 9.670 0.102 3.406
  1 0.229 19.525 0.102 4.251
  2 0.229 20.905 0.088 5.939
  3 0.225 22.717 0.079 7.538
  4 0.216 23.729 0.067 9.602
  5 0.202 23.412 0.055 12.341
  6 0.197 23.649 0.045 15.355
  7 0.196 24.088 0.035 18.943
  8 0.190 24.158 0.027 26.158
  9 0.177 23.636 0.020 35.098
 10 0.173 24.177 0.015 45.033
 11 0.155 32.953 0.010 51.473
 12 0.113 63.518 0.007 59.549
 13 0.066 49.704 0.004 64.098
 14 0.031 29.272 0.003 71.826
 15 0.024 27.749 0.002 67.467
 16 0.022 26.860 0.001 79.500
 17 0.021 29.914 0.001 117.000
 18 0.018 26.700 0.001 109.333
 19 0.017 24.092 0.000 0.000
 20 0.016 22.929 0.000 0.000
 21 0.015 24.279 0.000 0.000
 22 0.015 24.648 0.000 0.000
 23 0.015 24.900 0.000 0.000
 24 0.014 27.179 0.000 0.000
 25 0.012 25.550 0.000 0.000
 26 0.006 16.987 0.000 0.000
 27 0.001 30.857 0.000 0.000
 28 0.000 3.636 0.000 0.000
 29 0.000 4.000 0.000 0.000
 30 0.000 4.000 0.000 0.000
