Wd Paved Buildings EvergreenTrees DecidiousTrees Grass Baresoil Water
  0 0.338 0.100 0.000 0.160 0.160 0.241 0.000
  5 0.380 0.060 0.000 0.150 0.140 0.270 0.000
 10 0.413 0.030 0.000 0.168 0.109 0.280 0.000
 15 0.429 0.010 0.000 0.218 0.094 0.249 0.000
 20 0.366 0.078 0.000 0.279 0.116 0.161 0.000
 25 0.337 0.103 0.021 0.248 0.171 0.121 0.000
 30 0.355 0.081 0.044 0.166 0.283 0.072 0.000
 35 0.362 0.043 0.029 0.198 0.340 0.029 0.000
 40 0.383 0.075 0.031 0.208 0.303 0.000 0.000
 45 0.313 0.119 0.000 0.148 0.420 0.000 0.000
 50 0.360 0.098 0.000 0.258 0.283 0.000 0.000
 55 0.420 0.093 0.000 0.134 0.354 0.000 0.000
 60 0.510 0.144 0.000 0.031 0.316 0.000 0.000
 65 0.476 0.205 0.000 0.064 0.255 0.000 0.000
 70 0.423 0.239 0.000 0.064 0.274 0.000 0.000
 75 0.305 0.182 0.000 0.099 0.414 0.000 0.000
 80 0.280 0.181 0.000 0.087 0.453 0.000 0.000
 85 0.305 0.160 0.000 0.072 0.463 0.000 0.000
 90 0.474 0.090 0.000 0.040 0.396 0.000 0.000
 95 0.610 0.060 0.003 0.065 0.263 0.000 0.000
100 0.606 0.134 0.000 0.129 0.131 0.000 0.000
105 0.673 0.104 0.000 0.041 0.182 0.000 0.000
110 0.619 0.113 0.000 0.092 0.175 0.000 0.000
115 0.501 0.214 0.000 0.082 0.203 0.000 0.000
120 0.484 0.305 0.000 0.063 0.148 0.000 0.000
125 0.574 0.169 0.000 0.072 0.185 0.000 0.000
130 0.649 0.146 0.000 0.073 0.131 0.000 0.000
135 0.630 0.151 0.020 0.075 0.125 0.000 0.000
140 0.692 0.066 0.010 0.067 0.166 0.000 0.000
145 0.702 0.035 0.000 0.068 0.195 0.000 0.000
150 0.730 0.039 0.000 0.085 0.146 0.000 0.000
155 0.558 0.121 0.000 0.118 0.203 0.000 0.000
160 0.572 0.109 0.000 0.168 0.151 0.000 0.000
165 0.375 0.073 0.000 0.429 0.123 0.000 0.000
170 0.364 0.252 0.000 0.233 0.151 0.000 0.000
175 0.405 0.110 0.000 0.172 0.155 0.158 0.000
180 0.338 0.100 0.000 0.160 0.160 0.241 0.000
185 0.372 0.055 0.000 0.160 0.142 0.270 0.000
190 0.416 0.030 0.000 0.163 0.111 0.280 0.000
195 0.429 0.010 0.000 0.218 0.094 0.249 0.000
200 0.366 0.078 0.000 0.279 0.116 0.161 0.000
205 0.326 0.096 0.014 0.267 0.178 0.121 0.000
210 0.353 0.078 0.044 0.170 0.283 0.072 0.000
215 0.337 0.039 0.025 0.208 0.364 0.027 0.000
220 0.374 0.067 0.029 0.206 0.324 0.000 0.000
225 0.317 0.109 0.000 0.169 0.406 0.000 0.000
230 0.355 0.102 0.000 0.237 0.306 0.000 0.000
235 0.420 0.091 0.000 0.113 0.377 0.000 0.000
240 0.508 0.144 0.000 0.039 0.309 0.000 0.000
245 0.501 0.185 0.000 0.080 0.235 0.000 0.000
250 0.423 0.239 0.000 0.064 0.274 0.000 0.000
255 0.305 0.182 0.000 0.099 0.414 0.000 0.000
260 0.282 0.181 0.000 0.101 0.436 0.000 0.000
265 0.335 0.160 0.000 0.070 0.435 0.000 0.000
270 0.474 0.090 0.000 0.040 0.396 0.000 0.000
275 0.540 0.090 0.003 0.072 0.295 0.000 0.000
280 0.597 0.134 0.000 0.111 0.158 0.000 0.000
285 0.673 0.104 0.000 0.041 0.182 0.000 0.000
290 0.619 0.113 0.000 0.092 0.175 0.000 0.000
295 0.510 0.210 0.000 0.082 0.198 0.000 0.000
300 0.479 0.305 0.000 0.063 0.153 0.000 0.000
305 0.541 0.173 0.000 0.084 0.202 0.000 0.000
310 0.649 0.158 0.000 0.069 0.123 0.000 0.000
315 0.632 0.141 0.020 0.080 0.128 0.000 0.000
320 0.696 0.071 0.008 0.066 0.160 0.000 0.000
325 0.704 0.035 0.000 0.074 0.187 0.000 0.000
330 0.728 0.039 0.000 0.085 0.148 0.000 0.000
335 0.595 0.125 0.000 0.098 0.182 0.000 0.000
340 0.572 0.109 0.000 0.168 0.151 0.000 0.000
345 0.375 0.073 0.000 0.429 0.123 0.000 0.000
350 0.359 0.240 0.000 0.220 0.181 0.000 0.000
355 0.385 0.117 0.000 0.205 0.152 0.140 0.000
