Wd Paved Buildings EvergreenTrees DecidiousTrees Grass Baresoil Water
  0 0.218 0.241 0.100 0.281 0.160 0.000 0.000
  5 0.215 0.237 0.080 0.328 0.140 0.000 0.000
 10 0.272 0.191 0.072 0.351 0.114 0.000 0.000
 15 0.257 0.162 0.019 0.385 0.177 0.000 0.000
 20 0.191 0.217 0.024 0.402 0.165 0.000 0.000
 25 0.292 0.148 0.030 0.351 0.180 0.000 0.000
 30 0.203 0.131 0.017 0.407 0.242 0.000 0.000
 35 0.206 0.150 0.033 0.438 0.173 0.000 0.000
 40 0.378 0.112 0.031 0.360 0.119 0.000 0.000
 45 0.367 0.112 0.032 0.299 0.190 0.000 0.000
 50 0.287 0.239 0.012 0.364 0.098 0.000 0.000
 55 0.253 0.224 0.014 0.337 0.171 0.000 0.000
 60 0.325 0.183 0.017 0.344 0.131 0.000 0.000
 65 0.264 0.198 0.021 0.355 0.162 0.000 0.000
 70 0.236 0.201 0.014 0.383 0.165 0.000 0.000
 75 0.300 0.102 0.022 0.404 0.172 0.000 0.000
 80 0.257 0.069 0.020 0.361 0.292 0.000 0.000
 85 0.185 0.020 0.010 0.388 0.398 0.000 0.000
 90 0.231 0.060 0.020 0.373 0.316 0.000 0.000
 95 0.205 0.175 0.013 0.302 0.305 0.000 0.000
100 0.228 0.121 0.010 0.324 0.317 0.000 0.000
105 0.312 0.107 0.053 0.215 0.312 0.000 0.000
110 0.307 0.199 0.061 0.151 0.281 0.000 0.000
115 0.360 0.200 0.091 0.132 0.216 0.000 0.000
120 0.357 0.192 0.046 0.135 0.270 0.000 0.000
125 0.354 0.187 0.062 0.193 0.204 0.000 0.000
130 0.245 0.175 0.046 0.295 0.239 0.000 0.000
135 0.267 0.203 0.034 0.279 0.217 0.000 0.000
140 0.279 0.195 0.027 0.262 0.237 0.000 0.000
145 0.187 0.233 0.045 0.313 0.222 0.000 0.000
150 0.338 0.187 0.078 0.209 0.187 0.000 0.000
155 0.405 0.185 0.073 0.214 0.123 0.000 0.000
160 0.324 0.243 0.064 0.265 0.104 0.000 0.000
165 0.252 0.266 0.070 0.266 0.145 0.000 0.000
170 0.228 0.312 0.062 0.245 0.153 0.000 0.000
175 0.233 0.237 0.048 0.300 0.182 0.000 0.000
180 0.218 0.241 0.100 0.281 0.160 0.000 0.000
185 0.223 0.260 0.092 0.280 0.145 0.000 0.000
190 0.297 0.193 0.057 0.369 0.084 0.000 0.000
195 0.257 0.162 0.019 0.385 0.177 0.000 0.000
200 0.191 0.217 0.024 0.402 0.165 0.000 0.000
205 0.276 0.166 0.027 0.360 0.171 0.000 0.000
210 0.205 0.131 0.017 0.403 0.244 0.000 0.000
215 0.202 0.167 0.033 0.426 0.173 0.000 0.000
220 0.362 0.121 0.035 0.380 0.102 0.000 0.000
225 0.354 0.116 0.032 0.319 0.180 0.000 0.000
230 0.291 0.233 0.012 0.364 0.100 0.000 0.000
235 0.239 0.245 0.014 0.346 0.156 0.000 0.000
240 0.333 0.176 0.017 0.336 0.137 0.000 0.000
245 0.289 0.205 0.016 0.335 0.155 0.000 0.000
250 0.236 0.201 0.014 0.383 0.165 0.000 0.000
255 0.300 0.102 0.022 0.404 0.172 0.000 0.000
260 0.208 0.094 0.020 0.423 0.255 0.000 0.000
265 0.177 0.045 0.013 0.370 0.395 0.000 0.000
270 0.231 0.060 0.020 0.373 0.316 0.000 0.000
275 0.233 0.128 0.020 0.328 0.292 0.000 0.000
280 0.230 0.141 0.010 0.307 0.312 0.000 0.000
285 0.312 0.107 0.053 0.215 0.312 0.000 0.000
290 0.307 0.199 0.061 0.151 0.281 0.000 0.000
295 0.367 0.187 0.087 0.157 0.203 0.000 0.000
300 0.355 0.196 0.048 0.137 0.264 0.000 0.000
305 0.370 0.177 0.035 0.210 0.208 0.000 0.000
310 0.208 0.191 0.054 0.277 0.270 0.000 0.000
315 0.279 0.196 0.037 0.297 0.190 0.000 0.000
320 0.277 0.200 0.035 0.256 0.231 0.000 0.000
325 0.198 0.202 0.064 0.327 0.210 0.000 0.000
330 0.340 0.183 0.078 0.220 0.179 0.000 0.000
335 0.401 0.194 0.071 0.221 0.114 0.000 0.000
340 0.324 0.243 0.064 0.265 0.104 0.000 0.000
345 0.252 0.266 0.070 0.266 0.145 0.000 0.000
350 0.205 0.292 0.059 0.257 0.186 0.000 0.000
355 0.210 0.297 0.030 0.302 0.160 0.000 0.000
