Wd Paved Buildings EvergreenTrees DecidiousTrees Grass Baresoil Water
  0 0.679 0.000 0.000 0.261 0.060 0.000 0.000
  5 0.512 0.140 0.000 0.242 0.105 0.000 0.000
 10 0.537 0.047 0.000 0.255 0.161 0.000 0.000
 15 0.479 0.070 0.000 0.327 0.123 0.000 0.000
 20 0.546 0.050 0.000 0.355 0.050 0.000 0.000
 25 0.583 0.093 0.000 0.219 0.105 0.000 0.000
 30 0.488 0.048 0.000 0.353 0.111 0.000 0.000
 35 0.490 0.058 0.000 0.344 0.109 0.000 0.000
 40 0.599 0.044 0.000 0.243 0.114 0.000 0.000
 45 0.553 0.178 0.000 0.141 0.128 0.000 0.000
 50 0.489 0.291 0.000 0.119 0.100 0.000 0.000
 55 0.440 0.185 0.000 0.198 0.177 0.000 0.000
 60 0.453 0.150 0.000 0.207 0.190 0.000 0.000
 65 0.467 0.103 0.000 0.253 0.178 0.000 0.000
 70 0.444 0.137 0.000 0.210 0.208 0.000 0.000
 75 0.600 0.039 0.000 0.184 0.177 0.000 0.000
 80 0.547 0.054 0.000 0.287 0.111 0.000 0.000
 85 0.613 0.107 0.000 0.240 0.040 0.000 0.000
 90 0.471 0.145 0.000 0.271 0.113 0.000 0.000
 95 0.532 0.030 0.000 0.245 0.193 0.000 0.000
100 0.495 0.035 0.000 0.114 0.356 0.000 0.000
105 0.455 0.111 0.000 0.097 0.337 0.000 0.000
110 0.553 0.199 0.009 0.078 0.161 0.000 0.000
115 0.581 0.164 0.032 0.091 0.132 0.000 0.000
120 0.580 0.161 0.024 0.070 0.166 0.000 0.000
125 0.541 0.193 0.000 0.095 0.171 0.000 0.000
130 0.586 0.069 0.000 0.177 0.168 0.000 0.000
135 0.544 0.165 0.000 0.103 0.187 0.000 0.000
140 0.561 0.152 0.000 0.116 0.171 0.000 0.000
145 0.613 0.117 0.000 0.095 0.175 0.000 0.000
150 0.691 0.150 0.000 0.109 0.050 0.000 0.000
155 0.469 0.241 0.030 0.173 0.087 0.000 0.000
160 0.615 0.229 0.017 0.080 0.059 0.000 0.000
165 0.615 0.191 0.029 0.099 0.065 0.000 0.000
170 0.760 0.020 0.000 0.168 0.052 0.000 0.000
175 0.630 0.010 0.000 0.212 0.147 0.000 0.000
180 0.679 0.000 0.000 0.261 0.060 0.000 0.000
185 0.485 0.140 0.000 0.203 0.172 0.000 0.000
190 0.601 0.035 0.000 0.213 0.151 0.000 0.000
195 0.479 0.070 0.000 0.327 0.123 0.000 0.000
200 0.546 0.050 0.000 0.355 0.050 0.000 0.000
205 0.563 0.100 0.000 0.228 0.109 0.000 0.000
210 0.497 0.048 0.000 0.349 0.107 0.000 0.000
215 0.498 0.062 0.000 0.340 0.101 0.000 0.000
220 0.611 0.039 0.000 0.237 0.114 0.000 0.000
225 0.534 0.189 0.000 0.132 0.146 0.000 0.000
230 0.518 0.272 0.000 0.119 0.091 0.000 0.000
235 0.438 0.179 0.000 0.189 0.193 0.000 0.000
240 0.449 0.150 0.000 0.207 0.194 0.000 0.000
245 0.472 0.100 0.000 0.264 0.164 0.000 0.000
250 0.444 0.137 0.000 0.210 0.208 0.000 0.000
255 0.600 0.039 0.000 0.184 0.177 0.000 0.000
260 0.540 0.069 0.000 0.267 0.124 0.000 0.000
265 0.640 0.077 0.000 0.230 0.052 0.000 0.000
270 0.471 0.145 0.000 0.271 0.113 0.000 0.000
275 0.555 0.030 0.000 0.242 0.172 0.000 0.000
280 0.460 0.050 0.000 0.141 0.349 0.000 0.000
285 0.455 0.111 0.000 0.097 0.337 0.000 0.000
290 0.553 0.199 0.009 0.078 0.161 0.000 0.000
295 0.563 0.155 0.030 0.080 0.173 0.000 0.000
300 0.575 0.163 0.024 0.072 0.166 0.000 0.000
305 0.545 0.204 0.000 0.095 0.156 0.000 0.000
310 0.578 0.064 0.002 0.162 0.195 0.000 0.000
315 0.543 0.162 0.000 0.094 0.201 0.000 0.000
320 0.574 0.141 0.000 0.108 0.177 0.000 0.000
325 0.642 0.119 0.000 0.066 0.173 0.000 0.000
330 0.678 0.153 0.000 0.115 0.054 0.000 0.000
335 0.469 0.226 0.030 0.171 0.105 0.000 0.000
340 0.615 0.229 0.017 0.080 0.059 0.000 0.000
345 0.615 0.191 0.029 0.099 0.065 0.000 0.000
350 0.725 0.035 0.000 0.181 0.059 0.000 0.000
355 0.650 0.010 0.000 0.237 0.102 0.000 0.000
