 z  paib bScale paiv vScale 
  0 0.268 18.410 0.077 3.833
  1 0.268 26.727 0.077 4.992
  2 0.268 30.547 0.059 6.996
  3 0.258 35.599 0.049 8.831
  4 0.242 37.816 0.043 11.061
  5 0.210 39.508 0.037 13.542
  6 0.171 37.324 0.031 17.477
  7 0.145 38.921 0.025 20.142
  8 0.105 47.078 0.019 22.177
  9 0.054 42.380 0.015 24.316
 10 0.039 51.789 0.011 26.608
 11 0.028 45.333 0.009 29.161
 12 0.021 69.816 0.007 31.884
 13 0.014 137.273 0.006 35.308
 14 0.007 226.476 0.005 39.065
 15 0.001 940.000 0.004 56.000
 16 0.001 0.000 0.003 62.000
 17 0.001 0.000 0.002 85.333
