 z  paib bScale paiv vScale 
  0 0.127 8.556 0.358 4.147
  1 0.127 15.300 0.358 5.431
  2 0.127 16.739 0.324 7.982
  3 0.121 19.044 0.299 11.144
  4 0.113 20.217 0.276 15.264
  5 0.105 20.638 0.255 20.972
  6 0.101 21.361 0.235 28.065
  7 0.096 22.428 0.216 36.631
  8 0.088 22.307 0.197 45.230
  9 0.082 21.606 0.178 56.123
 10 0.078 21.033 0.159 65.796
 11 0.071 29.355 0.140 73.255
 12 0.045 102.057 0.122 83.620
 13 0.020 115.214 0.104 92.623
 14 0.001 58.571 0.086 101.695
