Wd Paved Buildings EvergreenTrees DecidiousTrees Grass Baresoil Water
  0 0.248 0.341 0.040 0.150 0.221 0.000 0.000
  5 0.323 0.258 0.030 0.150 0.240 0.000 0.000
 10 0.337 0.193 0.079 0.151 0.240 0.000 0.000
 15 0.409 0.201 0.041 0.182 0.167 0.000 0.000
 20 0.437 0.194 0.005 0.210 0.154 0.000 0.000
 25 0.257 0.134 0.055 0.328 0.226 0.000 0.000
 30 0.383 0.096 0.017 0.253 0.251 0.000 0.000
 35 0.319 0.226 0.043 0.214 0.198 0.000 0.000
 40 0.368 0.227 0.056 0.114 0.235 0.000 0.000
 45 0.352 0.203 0.039 0.109 0.297 0.000 0.000
 50 0.407 0.270 0.027 0.098 0.198 0.000 0.000
 55 0.370 0.270 0.014 0.115 0.230 0.000 0.000
 60 0.359 0.246 0.011 0.172 0.211 0.000 0.000
 65 0.474 0.257 0.000 0.075 0.194 0.000 0.000
 70 0.374 0.272 0.000 0.170 0.184 0.000 0.000
 75 0.341 0.310 0.000 0.085 0.264 0.000 0.000
 80 0.364 0.280 0.000 0.109 0.248 0.000 0.000
 85 0.212 0.352 0.000 0.098 0.338 0.000 0.000
 90 0.271 0.130 0.000 0.303 0.296 0.000 0.000
 95 0.207 0.305 0.000 0.150 0.338 0.000 0.000
100 0.369 0.181 0.000 0.109 0.342 0.000 0.000
105 0.211 0.400 0.000 0.136 0.254 0.000 0.000
110 0.338 0.322 0.000 0.095 0.246 0.000 0.000
115 0.396 0.169 0.014 0.134 0.287 0.000 0.000
120 0.383 0.275 0.033 0.126 0.183 0.000 0.000
125 0.342 0.247 0.043 0.163 0.206 0.000 0.000
130 0.474 0.250 0.039 0.073 0.164 0.000 0.000
135 0.281 0.217 0.048 0.210 0.244 0.000 0.000
140 0.428 0.173 0.008 0.139 0.252 0.000 0.000
145 0.286 0.216 0.021 0.296 0.181 0.000 0.000
150 0.357 0.261 0.000 0.192 0.190 0.000 0.000
155 0.417 0.282 0.000 0.121 0.180 0.000 0.000
160 0.343 0.265 0.024 0.201 0.168 0.000 0.000
165 0.322 0.271 0.019 0.186 0.201 0.000 0.000
170 0.292 0.354 0.037 0.146 0.171 0.000 0.000
175 0.422 0.193 0.050 0.168 0.168 0.000 0.000
180 0.248 0.341 0.040 0.150 0.221 0.000 0.000
185 0.282 0.285 0.037 0.168 0.228 0.000 0.000
190 0.297 0.196 0.082 0.156 0.270 0.000 0.000
195 0.409 0.201 0.041 0.182 0.167 0.000 0.000
200 0.437 0.194 0.005 0.210 0.154 0.000 0.000
205 0.282 0.137 0.043 0.303 0.235 0.000 0.000
210 0.377 0.098 0.017 0.259 0.248 0.000 0.000
215 0.319 0.235 0.047 0.212 0.187 0.000 0.000
220 0.407 0.220 0.058 0.091 0.225 0.000 0.000
225 0.375 0.199 0.036 0.109 0.281 0.000 0.000
230 0.426 0.260 0.027 0.098 0.189 0.000 0.000
235 0.370 0.265 0.014 0.113 0.237 0.000 0.000
240 0.359 0.244 0.011 0.176 0.209 0.000 0.000
245 0.453 0.267 0.000 0.080 0.200 0.000 0.000
250 0.374 0.272 0.000 0.170 0.184 0.000 0.000
255 0.341 0.310 0.000 0.085 0.264 0.000 0.000
260 0.349 0.282 0.000 0.109 0.260 0.000 0.000
265 0.215 0.338 0.000 0.090 0.357 0.000 0.000
270 0.271 0.130 0.000 0.303 0.296 0.000 0.000
275 0.235 0.273 0.000 0.165 0.328 0.000 0.000
280 0.403 0.163 0.000 0.067 0.366 0.000 0.000
285 0.211 0.400 0.000 0.136 0.254 0.000 0.000
290 0.338 0.322 0.000 0.095 0.246 0.000 0.000
295 0.385 0.166 0.014 0.157 0.278 0.000 0.000
300 0.386 0.272 0.033 0.129 0.181 0.000 0.000
305 0.346 0.243 0.053 0.156 0.202 0.000 0.000
310 0.484 0.252 0.044 0.085 0.135 0.000 0.000
315 0.283 0.219 0.059 0.196 0.244 0.000 0.000
320 0.405 0.171 0.010 0.154 0.260 0.000 0.000
325 0.317 0.212 0.019 0.282 0.171 0.000 0.000
330 0.357 0.268 0.000 0.183 0.192 0.000 0.000
335 0.431 0.262 0.000 0.123 0.185 0.000 0.000
340 0.343 0.265 0.024 0.201 0.168 0.000 0.000
345 0.322 0.271 0.019 0.186 0.201 0.000 0.000
350 0.304 0.334 0.030 0.131 0.200 0.000 0.000
355 0.407 0.170 0.033 0.180 0.210 0.000 0.000
