 z  paib bScale paiv vScale 
  0 0.214 5.817 0.198 3.616
  1 0.214 11.729 0.198 4.695
  2 0.214 13.723 0.150 6.590
  3 0.195 15.599 0.110 8.577
  4 0.182 16.027 0.086 10.711
  5 0.171 17.939 0.069 12.949
  6 0.155 19.843 0.056 15.916
  7 0.130 19.671 0.045 18.694
  8 0.099 31.190 0.037 21.628
  9 0.069 46.609 0.030 26.564
 10 0.041 44.034 0.025 28.021
 11 0.016 41.496 0.020 31.017
 12 0.008 32.988 0.016 33.853
 13 0.007 131.176 0.013 38.972
 14 0.003 0.000 0.011 45.729
 15 0.002 0.000 0.009 64.478
 16 0.001 0.000 0.008 78.159
