Wd Paved Buildings EvergreenTrees DecidiousTrees Grass Baresoil Water
  0 0.749 0.000 0.000 0.120 0.130 0.000 0.000
  5 0.642 0.000 0.020 0.115 0.172 0.000 0.050
 10 0.564 0.000 0.072 0.079 0.097 0.000 0.188
 15 0.661 0.000 0.000 0.090 0.075 0.000 0.174
 20 0.875 0.000 0.007 0.073 0.045 0.000 0.000
 25 0.959 0.000 0.000 0.009 0.032 0.000 0.000
 30 0.878 0.000 0.000 0.000 0.098 0.000 0.024
 35 0.842 0.000 0.000 0.031 0.128 0.000 0.000
 40 0.759 0.000 0.000 0.131 0.110 0.000 0.000
 45 0.585 0.000 0.005 0.278 0.130 0.000 0.002
 50 0.765 0.033 0.000 0.044 0.131 0.000 0.027
 55 0.580 0.088 0.000 0.156 0.144 0.000 0.031
 60 0.627 0.115 0.000 0.094 0.159 0.000 0.004
 65 0.779 0.116 0.000 0.043 0.057 0.000 0.005
 70 0.773 0.064 0.000 0.038 0.097 0.000 0.028
 75 0.707 0.063 0.000 0.044 0.157 0.000 0.029
 80 0.646 0.176 0.000 0.050 0.094 0.000 0.035
 85 0.705 0.147 0.000 0.040 0.072 0.000 0.035
 90 0.815 0.073 0.000 0.030 0.035 0.000 0.048
 95 0.693 0.075 0.000 0.045 0.133 0.000 0.055
100 0.710 0.124 0.000 0.045 0.059 0.000 0.062
105 0.702 0.131 0.000 0.065 0.080 0.000 0.022
110 0.735 0.128 0.000 0.064 0.073 0.000 0.000
115 0.704 0.191 0.000 0.062 0.043 0.000 0.000
120 0.686 0.203 0.000 0.041 0.070 0.000 0.000
125 0.730 0.150 0.000 0.062 0.058 0.000 0.000
130 0.790 0.094 0.000 0.039 0.077 0.000 0.000
135 0.767 0.060 0.000 0.060 0.105 0.000 0.007
140 0.759 0.073 0.000 0.040 0.114 0.000 0.013
145 0.784 0.088 0.000 0.058 0.070 0.000 0.000
150 0.771 0.102 0.000 0.061 0.065 0.000 0.000
155 0.859 0.021 0.000 0.059 0.062 0.000 0.000
160 0.837 0.000 0.000 0.078 0.085 0.000 0.000
165 0.814 0.000 0.000 0.051 0.136 0.000 0.000
170 0.700 0.000 0.000 0.111 0.188 0.000 0.000
175 0.698 0.000 0.000 0.100 0.203 0.000 0.000
180 0.749 0.000 0.000 0.120 0.130 0.000 0.000
185 0.630 0.000 0.020 0.130 0.150 0.000 0.070
190 0.542 0.000 0.077 0.069 0.119 0.000 0.193
195 0.661 0.000 0.000 0.090 0.075 0.000 0.174
200 0.875 0.000 0.007 0.073 0.045 0.000 0.000
205 0.964 0.000 0.000 0.005 0.032 0.000 0.000
210 0.891 0.000 0.000 0.000 0.085 0.000 0.024
215 0.840 0.000 0.000 0.041 0.119 0.000 0.000
220 0.778 0.000 0.004 0.123 0.094 0.000 0.000
225 0.598 0.000 0.007 0.267 0.117 0.000 0.011
230 0.740 0.025 0.000 0.062 0.145 0.000 0.029
235 0.576 0.086 0.000 0.154 0.150 0.000 0.033
240 0.625 0.111 0.000 0.094 0.163 0.000 0.007
245 0.795 0.103 0.000 0.039 0.055 0.000 0.009
250 0.773 0.064 0.000 0.038 0.097 0.000 0.028
255 0.707 0.063 0.000 0.044 0.157 0.000 0.029
260 0.683 0.161 0.000 0.032 0.094 0.000 0.030
265 0.690 0.147 0.000 0.045 0.080 0.000 0.037
270 0.815 0.073 0.000 0.030 0.035 0.000 0.048
275 0.677 0.083 0.000 0.048 0.138 0.000 0.055
280 0.705 0.124 0.000 0.045 0.067 0.000 0.059
285 0.702 0.131 0.000 0.065 0.080 0.000 0.022
290 0.735 0.128 0.000 0.064 0.073 0.000 0.000
295 0.708 0.200 0.000 0.048 0.043 0.000 0.000
300 0.686 0.203 0.000 0.041 0.070 0.000 0.000
305 0.737 0.126 0.000 0.060 0.078 0.000 0.000
310 0.790 0.083 0.000 0.050 0.077 0.000 0.000
315 0.772 0.060 0.000 0.050 0.114 0.000 0.004
320 0.744 0.071 0.000 0.052 0.116 0.000 0.017
325 0.786 0.086 0.000 0.058 0.070 0.000 0.000
330 0.773 0.102 0.000 0.061 0.063 0.000 0.000
335 0.847 0.021 0.000 0.062 0.071 0.000 0.000
340 0.837 0.000 0.000 0.078 0.085 0.000 0.000
345 0.814 0.000 0.000 0.051 0.136 0.000 0.000
350 0.718 0.000 0.000 0.104 0.178 0.000 0.000
355 0.720 0.000 0.000 0.092 0.188 0.000 0.000
