 z  paib bScale paiv vScale 
  0 0.235 39.536 0.075 3.847
  1 0.235 44.207 0.075 5.292
  2 0.235 49.271 0.037 5.943
  3 0.232 55.998 0.032 7.713
  4 0.226 61.964 0.029 9.753
  5 0.208 69.499 0.025 12.223
  6 0.176 81.879 0.022 15.829
  7 0.111 76.403 0.018 19.000
  8 0.059 93.526 0.014 24.084
  9 0.032 79.686 0.011 28.894
 10 0.010 69.909 0.008 37.035
 11 0.002 71.000 0.006 57.812
 12 0.001 70.000 0.004 85.548
 13 0.000 10.000 0.003 133.143
 14 0.000 3.000 0.002 95.667
 15 0.000 2.000 0.001 72.000
