Wd Paved Buildings EvergreenTrees DecidiousTrees Grass Baresoil Water
  0 0.531 0.351 0.000 0.108 0.010 0.000 0.000
  5 0.560 0.310 0.000 0.100 0.030 0.000 0.000
 10 0.589 0.329 0.000 0.072 0.010 0.000 0.000
 15 0.610 0.320 0.000 0.048 0.022 0.000 0.000
 20 0.612 0.336 0.000 0.040 0.012 0.000 0.000
 25 0.542 0.410 0.000 0.016 0.032 0.000 0.000
 30 0.471 0.462 0.000 0.052 0.015 0.000 0.000
 35 0.617 0.346 0.000 0.021 0.016 0.000 0.000
 40 0.501 0.314 0.000 0.148 0.037 0.000 0.000
 45 0.578 0.281 0.000 0.098 0.043 0.000 0.000
 50 0.482 0.308 0.000 0.141 0.069 0.000 0.000
 55 0.607 0.340 0.000 0.000 0.053 0.000 0.000
 60 0.588 0.399 0.000 0.000 0.013 0.000 0.000
 65 0.531 0.458 0.000 0.002 0.009 0.000 0.000
 70 0.440 0.513 0.000 0.021 0.026 0.000 0.000
 75 0.438 0.542 0.000 0.019 0.000 0.000 0.000
 80 0.399 0.582 0.000 0.010 0.010 0.000 0.000
 85 0.400 0.590 0.000 0.000 0.010 0.000 0.000
 90 0.371 0.584 0.000 0.045 0.000 0.000 0.000
 95 0.328 0.613 0.000 0.050 0.010 0.000 0.000
100 0.488 0.488 0.000 0.022 0.002 0.000 0.000
105 0.506 0.460 0.000 0.029 0.005 0.000 0.000
110 0.513 0.411 0.012 0.050 0.014 0.000 0.000
115 0.583 0.321 0.000 0.014 0.082 0.000 0.000
120 0.566 0.285 0.002 0.072 0.074 0.000 0.000
125 0.621 0.233 0.000 0.068 0.078 0.000 0.000
130 0.597 0.220 0.021 0.092 0.069 0.000 0.000
135 0.687 0.185 0.016 0.044 0.066 0.000 0.002
140 0.671 0.206 0.006 0.010 0.108 0.000 0.000
145 0.689 0.245 0.000 0.029 0.037 0.000 0.000
150 0.630 0.275 0.000 0.000 0.096 0.000 0.000
155 0.626 0.273 0.000 0.032 0.068 0.000 0.000
160 0.643 0.246 0.000 0.028 0.083 0.000 0.000
165 0.692 0.252 0.000 0.000 0.056 0.000 0.000
170 0.730 0.240 0.000 0.020 0.010 0.000 0.000
175 0.672 0.280 0.000 0.040 0.007 0.000 0.000
180 0.531 0.351 0.000 0.108 0.010 0.000 0.000
185 0.583 0.300 0.000 0.090 0.028 0.000 0.000
190 0.579 0.334 0.000 0.069 0.017 0.000 0.000
195 0.610 0.320 0.000 0.048 0.022 0.000 0.000
200 0.612 0.336 0.000 0.040 0.012 0.000 0.000
205 0.533 0.417 0.000 0.018 0.032 0.000 0.000
210 0.471 0.462 0.000 0.052 0.015 0.000 0.000
215 0.582 0.379 0.000 0.019 0.021 0.000 0.000
220 0.505 0.314 0.000 0.158 0.023 0.000 0.000
225 0.600 0.278 0.000 0.082 0.041 0.000 0.000
230 0.489 0.312 0.000 0.123 0.075 0.000 0.000
235 0.593 0.350 0.000 0.000 0.058 0.000 0.000
240 0.593 0.397 0.000 0.000 0.011 0.000 0.000
245 0.522 0.469 0.000 0.007 0.002 0.000 0.000
250 0.440 0.513 0.000 0.021 0.026 0.000 0.000
255 0.438 0.542 0.000 0.019 0.000 0.000 0.000
260 0.401 0.579 0.000 0.010 0.010 0.000 0.000
265 0.375 0.615 0.000 0.000 0.010 0.000 0.000
270 0.371 0.584 0.000 0.045 0.000 0.000 0.000
275 0.355 0.605 0.000 0.030 0.010 0.000 0.000
280 0.465 0.510 0.000 0.020 0.005 0.000 0.000
285 0.506 0.460 0.000 0.029 0.005 0.000 0.000
290 0.513 0.411 0.012 0.050 0.014 0.000 0.000
295 0.601 0.319 0.000 0.009 0.071 0.000 0.000
300 0.571 0.285 0.002 0.068 0.074 0.000 0.000
305 0.636 0.230 0.000 0.064 0.070 0.000 0.000
310 0.615 0.210 0.023 0.089 0.064 0.000 0.000
315 0.665 0.189 0.021 0.052 0.073 0.000 0.000
320 0.659 0.208 0.002 0.010 0.121 0.000 0.000
325 0.710 0.245 0.000 0.029 0.016 0.000 0.000
330 0.634 0.270 0.000 0.000 0.096 0.000 0.000
335 0.610 0.285 0.000 0.039 0.066 0.000 0.000
340 0.643 0.246 0.000 0.028 0.083 0.000 0.000
345 0.692 0.252 0.000 0.000 0.056 0.000 0.000
350 0.735 0.250 0.000 0.005 0.010 0.000 0.000
355 0.677 0.282 0.000 0.040 0.000 0.000 0.000
