 z  paib bScale paiv vScale 
  0 0.142 6.970 0.408 4.201
  1 0.142 11.509 0.408 5.697
  2 0.142 15.214 0.372 8.915
  3 0.134 17.728 0.336 13.150
  4 0.123 19.753 0.309 18.813
  5 0.113 20.013 0.282 26.920
  6 0.106 21.691 0.258 37.051
  7 0.097 23.018 0.237 48.029
  8 0.087 24.786 0.216 60.398
  9 0.078 25.674 0.197 73.345
 10 0.071 25.865 0.178 88.460
 11 0.064 26.756 0.157 107.927
 12 0.060 26.415 0.137 122.117
 13 0.054 26.070 0.118 143.221
 14 0.047 24.486 0.100 168.084
 15 0.043 23.869 0.082 193.933
 16 0.040 22.790 0.064 221.470
 17 0.038 23.553 0.048 290.528
 18 0.036 23.360 0.034 348.903
 19 0.034 22.892 0.021 389.371
 20 0.033 23.089 0.012 330.500
 21 0.031 22.214 0.006 199.368
 22 0.029 22.548 0.003 138.667
 23 0.028 24.715 0.001 86.857
 24 0.026 24.838 0.000 43.000
 25 0.024 22.979 0.000 0.000
 26 0.022 21.517 0.000 0.000
 27 0.022 21.517 0.000 0.000
 28 0.022 21.517 0.000 0.000
 29 0.022 22.509 0.000 0.000
 30 0.021 25.864 0.000 0.000
 31 0.018 38.623 0.000 0.000
 32 0.015 36.873 0.000 0.000
 33 0.011 46.887 0.000 0.000
 34 0.007 465.200 0.000 0.000
 35 0.004 1288.000 0.000 0.000
 36 0.002 0.000 0.000 0.000
 37 0.000 0.000 0.000 0.000
