Wd Paved Buildings EvergreenTrees DecidiousTrees Grass Baresoil Water
  0 0.398 0.321 0.000 0.150 0.130 0.000 0.000
  5 0.350 0.310 0.000 0.195 0.145 0.000 0.000
 10 0.460 0.139 0.000 0.223 0.178 0.000 0.000
 15 0.453 0.121 0.000 0.206 0.220 0.000 0.000
 20 0.407 0.180 0.000 0.208 0.206 0.000 0.000
 25 0.453 0.219 0.009 0.128 0.191 0.000 0.000
 30 0.427 0.135 0.022 0.203 0.214 0.000 0.000
 35 0.444 0.128 0.053 0.119 0.255 0.000 0.000
 40 0.449 0.112 0.048 0.108 0.283 0.000 0.000
 45 0.512 0.096 0.021 0.217 0.153 0.000 0.000
 50 0.408 0.175 0.054 0.222 0.141 0.000 0.000
 55 0.447 0.233 0.043 0.134 0.144 0.000 0.000
 60 0.344 0.216 0.074 0.142 0.224 0.000 0.000
 65 0.396 0.191 0.043 0.171 0.198 0.000 0.000
 70 0.454 0.222 0.069 0.168 0.087 0.000 0.000
 75 0.429 0.232 0.044 0.109 0.186 0.000 0.000
 80 0.354 0.131 0.022 0.297 0.196 0.000 0.000
 85 0.352 0.198 0.025 0.255 0.170 0.000 0.000
 90 0.351 0.170 0.000 0.195 0.283 0.000 0.000
 95 0.432 0.160 0.000 0.135 0.273 0.000 0.000
100 0.569 0.084 0.000 0.114 0.233 0.000 0.000
105 0.450 0.153 0.000 0.104 0.293 0.000 0.000
110 0.305 0.277 0.000 0.111 0.307 0.000 0.000
115 0.358 0.241 0.000 0.112 0.289 0.000 0.000
120 0.403 0.248 0.000 0.150 0.198 0.000 0.000
125 0.418 0.257 0.000 0.150 0.175 0.000 0.000
130 0.455 0.231 0.012 0.152 0.150 0.000 0.000
135 0.434 0.231 0.009 0.100 0.226 0.000 0.000
140 0.414 0.235 0.035 0.114 0.202 0.000 0.000
145 0.354 0.198 0.033 0.160 0.255 0.000 0.000
150 0.349 0.161 0.000 0.194 0.296 0.000 0.000
155 0.321 0.200 0.000 0.173 0.305 0.000 0.000
160 0.357 0.076 0.009 0.274 0.284 0.000 0.000
165 0.433 0.080 0.000 0.211 0.276 0.000 0.000
170 0.314 0.213 0.000 0.213 0.260 0.000 0.000
175 0.365 0.177 0.000 0.245 0.212 0.000 0.000
180 0.398 0.321 0.000 0.150 0.130 0.000 0.000
185 0.370 0.310 0.000 0.163 0.158 0.000 0.000
190 0.396 0.198 0.000 0.228 0.178 0.000 0.000
195 0.453 0.121 0.000 0.206 0.220 0.000 0.000
200 0.407 0.180 0.000 0.208 0.206 0.000 0.000
205 0.460 0.191 0.011 0.130 0.207 0.000 0.000
210 0.427 0.135 0.022 0.205 0.211 0.000 0.000
215 0.424 0.121 0.058 0.144 0.253 0.000 0.000
220 0.461 0.100 0.052 0.110 0.277 0.000 0.000
225 0.491 0.101 0.032 0.217 0.158 0.000 0.000
230 0.420 0.160 0.046 0.235 0.139 0.000 0.000
235 0.457 0.222 0.045 0.123 0.152 0.000 0.000
240 0.349 0.220 0.072 0.142 0.218 0.000 0.000
245 0.412 0.185 0.043 0.157 0.203 0.000 0.000
250 0.454 0.222 0.069 0.168 0.087 0.000 0.000
255 0.429 0.232 0.044 0.109 0.186 0.000 0.000
260 0.361 0.124 0.020 0.245 0.250 0.000 0.000
265 0.380 0.220 0.010 0.247 0.142 0.000 0.000
270 0.351 0.170 0.000 0.195 0.283 0.000 0.000
275 0.440 0.160 0.000 0.122 0.278 0.000 0.000
280 0.517 0.072 0.000 0.144 0.267 0.000 0.000
285 0.450 0.153 0.000 0.104 0.293 0.000 0.000
290 0.305 0.277 0.000 0.111 0.307 0.000 0.000
295 0.337 0.244 0.000 0.118 0.301 0.000 0.000
300 0.401 0.248 0.000 0.148 0.203 0.000 0.000
305 0.403 0.261 0.000 0.167 0.169 0.000 0.000
310 0.478 0.214 0.013 0.145 0.150 0.000 0.000
315 0.432 0.231 0.009 0.100 0.228 0.000 0.000
320 0.408 0.235 0.040 0.104 0.212 0.000 0.000
325 0.315 0.206 0.041 0.181 0.257 0.000 0.000
330 0.349 0.166 0.000 0.192 0.294 0.000 0.000
335 0.330 0.214 0.000 0.189 0.267 0.000 0.000
340 0.357 0.076 0.009 0.274 0.284 0.000 0.000
345 0.433 0.080 0.000 0.211 0.276 0.000 0.000
350 0.317 0.208 0.000 0.228 0.248 0.000 0.000
355 0.378 0.170 0.000 0.217 0.235 0.000 0.000
