Wd Paved Buildings EvergreenTrees DecidiousTrees Grass Baresoil Water
  0 0.331 0.301 0.020 0.060 0.288 0.000 0.000
  5 0.547 0.158 0.020 0.085 0.190 0.000 0.000
 10 0.349 0.158 0.000 0.178 0.314 0.000 0.000
 15 0.380 0.230 0.000 0.160 0.230 0.000 0.000
 20 0.447 0.260 0.000 0.123 0.170 0.000 0.000
 25 0.328 0.342 0.000 0.084 0.246 0.000 0.000
 30 0.379 0.209 0.000 0.115 0.296 0.000 0.000
 35 0.331 0.251 0.000 0.084 0.333 0.000 0.000
 40 0.295 0.295 0.010 0.027 0.374 0.000 0.000
 45 0.244 0.272 0.002 0.107 0.375 0.000 0.000
 50 0.239 0.239 0.000 0.106 0.416 0.000 0.000
 55 0.342 0.173 0.004 0.099 0.383 0.000 0.000
 60 0.331 0.233 0.000 0.057 0.379 0.000 0.000
 65 0.419 0.200 0.039 0.018 0.323 0.000 0.000
 70 0.452 0.203 0.038 0.031 0.277 0.000 0.000
 75 0.443 0.245 0.002 0.044 0.266 0.000 0.000
 80 0.334 0.317 0.030 0.040 0.280 0.000 0.000
 85 0.355 0.360 0.040 0.060 0.185 0.000 0.000
 90 0.398 0.291 0.000 0.030 0.281 0.000 0.000
 95 0.300 0.315 0.000 0.075 0.310 0.000 0.000
100 0.322 0.431 0.000 0.077 0.171 0.000 0.000
105 0.327 0.349 0.002 0.051 0.271 0.000 0.000
110 0.286 0.310 0.033 0.061 0.310 0.000 0.000
115 0.392 0.251 0.000 0.100 0.257 0.000 0.000
120 0.357 0.301 0.000 0.052 0.290 0.000 0.000
125 0.335 0.327 0.000 0.123 0.214 0.000 0.000
130 0.407 0.260 0.000 0.141 0.193 0.000 0.000
135 0.456 0.251 0.000 0.151 0.142 0.000 0.000
140 0.441 0.297 0.004 0.164 0.094 0.000 0.000
145 0.496 0.257 0.000 0.113 0.134 0.000 0.000
150 0.362 0.253 0.000 0.231 0.155 0.000 0.000
155 0.287 0.280 0.000 0.121 0.312 0.000 0.000
160 0.390 0.187 0.000 0.080 0.343 0.000 0.000
165 0.465 0.143 0.000 0.082 0.310 0.000 0.000
170 0.337 0.302 0.000 0.059 0.302 0.000 0.000
175 0.525 0.163 0.020 0.058 0.235 0.000 0.000
180 0.331 0.301 0.020 0.060 0.288 0.000 0.000
185 0.482 0.150 0.020 0.110 0.237 0.000 0.000
190 0.356 0.144 0.000 0.191 0.309 0.000 0.000
195 0.380 0.230 0.000 0.160 0.230 0.000 0.000
200 0.447 0.260 0.000 0.123 0.170 0.000 0.000
205 0.349 0.339 0.000 0.073 0.239 0.000 0.000
210 0.377 0.209 0.000 0.115 0.298 0.000 0.000
215 0.311 0.251 0.000 0.095 0.344 0.000 0.000
220 0.318 0.283 0.006 0.027 0.366 0.000 0.000
225 0.263 0.269 0.005 0.096 0.367 0.000 0.000
230 0.258 0.239 0.000 0.104 0.399 0.000 0.000
235 0.346 0.187 0.000 0.076 0.391 0.000 0.000
240 0.322 0.233 0.000 0.059 0.386 0.000 0.000
245 0.421 0.194 0.027 0.023 0.335 0.000 0.000
250 0.452 0.203 0.038 0.031 0.277 0.000 0.000
255 0.443 0.245 0.002 0.044 0.266 0.000 0.000
260 0.324 0.329 0.030 0.064 0.252 0.000 0.000
265 0.315 0.362 0.040 0.058 0.225 0.000 0.000
270 0.398 0.291 0.000 0.030 0.281 0.000 0.000
275 0.297 0.302 0.000 0.128 0.273 0.000 0.000
280 0.351 0.418 0.000 0.072 0.158 0.000 0.000
285 0.327 0.349 0.002 0.051 0.271 0.000 0.000
290 0.286 0.310 0.033 0.061 0.310 0.000 0.000
295 0.376 0.241 0.000 0.096 0.287 0.000 0.000
300 0.353 0.303 0.000 0.050 0.294 0.000 0.000
305 0.352 0.323 0.000 0.121 0.204 0.000 0.000
310 0.408 0.250 0.000 0.164 0.177 0.000 0.000
315 0.464 0.244 0.000 0.137 0.155 0.000 0.000
320 0.441 0.301 0.000 0.148 0.110 0.000 0.000
325 0.525 0.220 0.000 0.132 0.123 0.000 0.000
330 0.359 0.261 0.000 0.227 0.153 0.000 0.000
335 0.267 0.282 0.000 0.132 0.319 0.000 0.000
340 0.390 0.187 0.000 0.080 0.343 0.000 0.000
345 0.465 0.143 0.000 0.082 0.310 0.000 0.000
350 0.364 0.280 0.000 0.074 0.282 0.000 0.000
355 0.535 0.175 0.020 0.037 0.233 0.000 0.000
