 z  paib bScale paiv vScale 
  0 0.331 13.669 0.080 3.565
  1 0.331 17.120 0.079 4.588
  2 0.331 19.568 0.071 5.751
  3 0.311 22.623 0.064 7.112
  4 0.303 24.106 0.059 8.294
  5 0.292 24.444 0.049 10.720
  6 0.283 25.087 0.042 14.083
  7 0.274 25.231 0.033 16.993
  8 0.258 25.019 0.028 20.758
  9 0.243 24.411 0.024 21.651
 10 0.242 24.627 0.021 22.427
 11 0.241 24.824 0.017 23.083
 12 0.238 24.974 0.014 21.527
 13 0.234 25.450 0.011 20.068
 14 0.218 25.353 0.008 20.075
 15 0.215 25.936 0.006 16.190
 16 0.196 26.776 0.004 12.360
 17 0.170 28.234 0.003 9.565
 18 0.152 28.989 0.002 8.311
 19 0.137 28.960 0.002 7.291
 20 0.115 29.393 0.001 5.895
 21 0.103 29.986 0.001 4.792
 22 0.082 29.605 0.000 3.944
 23 0.067 29.793 0.000 1.867
 24 0.055 27.892 0.000 2.000
 25 0.043 29.184 0.000 2.000
 26 0.027 35.875 0.000 2.069
 27 0.020 30.621 0.000 1.750
 28 0.017 29.437 0.000 0.000
 29 0.017 30.096 0.000 0.000
 30 0.017 35.356 0.000 0.000
 31 0.014 42.495 0.000 0.000
 32 0.010 57.464 0.000 0.000
 33 0.006 45.063 0.000 0.000
 34 0.004 37.589 0.000 0.000
 35 0.003 26.971 0.000 0.000
 36 0.003 25.371 0.000 0.000
 37 0.003 25.371 0.000 0.000
 38 0.003 25.371 0.000 0.000
 39 0.003 25.391 0.000 0.000
 40 0.003 27.933 0.000 0.000
 41 0.003 29.929 0.000 0.000
 42 0.003 30.473 0.000 0.000
 43 0.003 30.473 0.000 0.000
 44 0.003 30.473 0.000 0.000
 45 0.003 31.037 0.000 0.000
 46 0.003 32.231 0.000 0.000
 47 0.001 59.500 0.000 0.000
 48 0.000 0.000 0.000 0.000
 49 0.000 0.000 0.000 0.000
