dectime dryQSresid
10.0180 NaN
10.0417 NaN
10.0597 NaN
10.0833 NaN
10.1013 NaN
10.1250 NaN
10.1430 NaN
10.1667 NaN
10.1846 NaN
10.2083 -57.7985
10.2263 -61.7241
10.2500 -67.8565
10.2679 -72.3488
10.2917 -73.3510
10.3096 -70.7269
10.3333 -65.0717
10.3512 -58.5927
10.3750 -60.5647
10.3929 -74.2405
10.4167 -82.2985
10.4345 -71.0431
10.4583 -56.2565
10.4762 -56.8482
10.5000 -59.7512
10.5179 -48.2216
10.5417 -34.4269
10.5595 -34.3311
10.5833 -44.0156
10.6012 -53.3442
10.6250 -57.0831
10.6428 -52.2039
10.6667 -46.0488
10.6845 -45.8597
10.7083 -47.7474
10.7261 -46.8832
10.7500 -43.2629
10.7678 -43.0650
10.7917 -48.2355
10.8094 -49.9224
10.8333 -46.8603
10.8511 -43.8586
10.8750 -42.0118
10.8928 -42.7339
10.9167 -45.1919
10.9344 -46.3832
10.9583 -44.0728
10.9761 -37.2716
11.0000 -30.3849
11.0177 -28.4528
11.0417 -29.7323
11.0594 -30.9197
11.0833 -32.8960
11.1010 -36.1510
11.1250 -36.3264
11.1427 -30.9933
11.1667 -27.4094
11.1843 -31.4031
11.2083 -36.1649
11.2260 -33.4205
11.2500 -23.1237
11.2676 -9.9306
11.2917 -3.3827
11.3093 -8.0376
11.3333 -10.7370
11.3510 2.5982
11.3750 23.6639
11.3926 37.3984
11.4167 45.8459
11.4343 55.2945
11.4583 57.5725
11.4759 45.9042
11.5000 29.3029
11.5176 14.9937
11.5417 13.9981
11.5592 26.3374
11.5833 0.1319
11.6009 -88.1489
11.6250 -138.3205
11.6425 -69.5957
11.6667 NaN
11.6842 NaN
11.7083 NaN
11.7258 NaN
11.7500 NaN
11.7675 NaN
11.7917 NaN
11.8092 NaN
11.8333 NaN
11.8508 NaN
11.8750 NaN
11.8925 NaN
11.9167 NaN
11.9341 NaN
11.9583 NaN
11.9758 NaN
12.0000 NaN
12.0174 NaN
12.0417 NaN
12.0591 -2.2394
12.0833 10.5558
12.1007 6.5851
12.1250 -5.6969
12.1424 -11.5229
12.1667 -15.2777
12.1841 -20.2473
12.2083 NaN
12.2257 NaN
12.2500 NaN
12.2674 NaN
12.2917 NaN
12.3090 NaN
12.3333 NaN
12.3507 NaN
12.3750 NaN
12.3923 NaN
12.4167 NaN
12.4340 NaN
12.4583 NaN
12.4756 NaN
12.5000 NaN
12.5173 NaN
12.5417 NaN
12.5589 NaN
12.5833 NaN
12.6006 NaN
12.6250 NaN
12.6423 NaN
12.6667 NaN
12.6839 NaN
12.7083 NaN
12.7256 NaN
12.7500 NaN
12.7672 NaN
12.7917 NaN
12.8089 NaN
12.8333 NaN
12.8505 NaN
12.8750 NaN
12.8922 NaN
12.9167 NaN
12.9338 NaN
12.9583 NaN
12.9755 NaN
13.0000 NaN
13.0171 NaN
13.0417 NaN
13.0588 NaN
13.0833 NaN
13.1005 NaN
13.1250 NaN
13.1421 NaN
13.1667 NaN
13.1838 NaN
13.2083 NaN
13.2254 NaN
13.2500 NaN
13.2671 NaN
13.2917 NaN
13.3087 NaN
13.3333 NaN
13.3504 NaN
13.3750 NaN
13.3920 NaN
13.4167 NaN
13.4337 NaN
13.4583 NaN
13.4754 NaN
13.5000 NaN
13.5170 NaN
13.5417 NaN
13.5587 NaN
13.5833 NaN
13.6003 NaN
13.6250 NaN
13.6420 NaN
13.6667 NaN
13.6836 NaN
13.7083 NaN
13.7253 NaN
13.7500 NaN
13.7669 NaN
13.7917 NaN
13.8086 NaN
13.8333 NaN
13.8502 NaN
13.8750 NaN
13.8919 NaN
13.9167 NaN
