year;dectime;QgHFP
2004;43.0208;-23.3299
2004;43.0417;-17.3894
2004;43.0625;-18.9956
2004;43.0833;-17.8314
2004;43.1042;-17.5468
2004;43.125;-15.7676
2004;43.1458;-20.0479
2004;43.1667;-16.6664
2004;43.1875;-15.5403
2004;43.2083;-22.6151
2004;43.2292;-13.3119
2004;43.25;-12.1135
2004;43.2708;-12.8931
2004;43.2917;-10.8092
2004;43.3125;-8.1853
2004;43.3333;-1.1775
2004;43.3542;0.2733
2004;43.375;3.2044
2004;43.3958;1.4471
2004;43.4167;7.5606
2004;43.4375;5.8176
2004;43.4583;9.1316
2004;43.4792;6.5895
2004;43.5;2.5279
2004;43.5208;4.6541
2004;43.5417;3.8443
2004;43.5625;1.2406
2004;43.5833;1.7297
2004;43.6042;0.8431
2004;43.625;2.4921
2004;43.6458;-0.7957
2004;43.6667;-0.3673
2004;43.6875;0.3485
2004;43.7083;0.7661
2004;43.7292;1.257
2004;43.75;1.2254
2004;43.7708;-0.0001
2004;43.7917;-0.0518
2004;43.8125;0.8864
2004;43.8333;1.7371
2004;43.8542;1.2629
2004;43.875;1.1127
2004;43.8958;0.3759
2004;43.9167;0.8718
2004;43.9375;3.0324
2004;43.9583;2.0626
2004;43.9792;4.4872
2004;44;1.0956
2004;44.0208;3.6294
2004;44.0417;0.7081
2004;44.0625;-1.2939
2004;44.0833;0.479
2004;44.1042;0.1098
2004;44.125;-0.8158
2004;44.1458;-0.3208
2004;44.1667;0.6266
2004;44.1875;-0.0297
2004;44.2083;-0.4707
2004;44.2292;-0.1988
2004;44.25;1.2188
2004;44.2708;-0.0027
2004;44.2917;-0.1278
2004;44.3125;1.7261
2004;44.3333;6.4925
2004;44.3542;11.8765
2004;44.375;14.377
2004;44.3958;18.1907
2004;44.4167;41.9911
2004;44.4375;65.041
2004;44.4583;61.2408
2004;44.4792;48.0654
2004;44.5;31.6574
2004;44.5208;25.8701
2004;44.5417;31.7822
2004;44.5625;29.979
2004;44.5833;22.2542
2004;44.6042;12.594
2004;44.625;5.9344
2004;44.6458;3.8103
2004;44.6667;0.0514
2004;44.6875;-2.2947
2004;44.7083;-7.6572
2004;44.7292;-4.3479
2004;44.75;-3.2321
2004;44.7708;-4.7438
2004;44.7917;-2.8359
2004;44.8125;-2.9648
2004;44.8333;-1.1449
2004;44.8542;0.2809
2004;44.875;0.6623
2004;44.8958;-0.1659
2004;44.9167;0.2031
2004;44.9375;0.1582
2004;44.9583;0.2597
2004;44.9792;0.8482
2004;45;2.265
2004;45.0208;2.437
2004;45.0417;2.4022
2004;45.0625;2.0693
2004;45.0833;2.4402
2004;45.1042;2.1716
2004;45.125;2.6796
2004;45.1458;2.0896
2004;45.1667;2.34
2004;45.1875;1.9064
2004;45.2083;0.6942
2004;45.2292;-1.0779
2004;45.25;-1.606
2004;45.2708;-5.4598
2004;45.2917;-7.5241
2004;45.3125;-4.4186
2004;45.3333;4.9764
2004;45.3542;12.6787
2004;45.375;22.9316
2004;45.3958;34.2943
2004;45.4167;56.0765
2004;45.4375;49.9268
2004;45.4583;57.6399
2004;45.4792;66.2597
2004;45.5;56.2375
2004;45.5208;51.7611
2004;45.5417;53.5076
2004;45.5625;23.0189
2004;45.5833;6.4878
2004;45.6042;22.4257
2004;45.625;0.3871
2004;45.6458;-10.7275
2004;45.6667;-27.3706
2004;45.6875;-49.2628
2004;45.7083;-16.5693
2004;45.7292;-46.7412
2004;45.75;-15.8261
2004;45.7708;-14.0682
2004;45.7917;2.2942
2004;45.8125;-18.5081
2004;45.8333;-38.2406
2004;45.8542;-50.899
2004;45.875;-75.8513
2004;45.8958;-63.2015
2004;45.9167;-49.8075
2004;45.9375;-48.851
2004;45.9583;-43.9711
2004;45.9792;-42.6517
2004;46;-43.9019
2004;46.0208;-44.4919
2004;46.0417;-44.781
2004;46.0625;-44.9596
2004;46.0833;-44.1539
2004;46.1042;-45.0957
2004;46.125;-41.0825
2004;46.1458;-44.4508
2004;46.1667;-44.1694
2004;46.1875;-41.3972
2004;46.2083;-22.4689
2004;46.2292;-16.9582
2004;46.25;-8.2939
2004;46.2708;-22.4804
2004;46.2917;-27.8207
2004;46.3125;-25.5287
2004;46.3333;-12.2401
2004;46.3542;6.4554
2004;46.375;57.3916
2004;46.3958;27.8455
2004;46.4167;37.6371
2004;46.4375;37.8265
2004;46.4583;34.5678
2004;46.4792;23.1517
2004;46.5;37.6178
2004;46.5208;73.4288
2004;46.5417;30.4933
2004;46.5625;58.7989
2004;46.5833;129.968
2004;46.6042;77.1024
2004;46.625;34.0576
2004;46.6458;-54.9047
2004;46.6667;-33.9675
2004;46.6875;-44.9277
2004;46.7083;-16.7875
2004;46.7292;-33.7007
2004;46.75;-12.9564
2004;46.7708;-29.871
2004;46.7917;-10.9863
2004;46.8125;-6.1691
2004;46.8333;-11.6895
2004;46.8542;-8.5717
2004;46.875;-10.3274
2004;46.8958;-37.1885
2004;46.9167;-47.8424
2004;46.9375;-46.6264
2004;46.9583;-46.4801
2004;46.9792;-48.3506
2004;47;-45.5726
2004;47.0208;-44.0213
2004;47.0417;-41.8118
2004;47.0625;-33.7503
2004;47.0833;-37.4456
2004;47.1042;-21.9133
2004;47.125;-5.6551
2004;47.1458;-12.1054
2004;47.1667;-44.1546
2004;47.1875;-49.5438
2004;47.2083;-43.9746
2004;47.2292;-39.2233
2004;47.25;-46.4606
2004;47.2708;-48.3021
2004;47.2917;-45.5938
2004;47.3125;-42.7976
2004;47.3333;-26.9075
2004;47.3542;-10.5186
2004;47.375;68.7437
2004;47.3958;61.1213
2004;47.4167;42.6436
2004;47.4375;51.4849
2004;47.4583;30.1638
2004;47.4792;-0.3242
2004;47.5;0.2187
2004;47.5208;22.4104
2004;47.5417;23.7187
2004;47.5625;34.2268
2004;47.5833;18.2822
2004;47.6042;15.7433
2004;47.625;12.9028
2004;47.6458;4.0272
2004;47.6667;2.7433
2004;47.6875;1.8078
2004;47.7083;3.4354
2004;47.7292;5.7895
2004;47.75;8.7224
2004;47.7708;9.65
2004;47.7917;8.669
2004;47.8125;9.6701
2004;47.8333;9.189
2004;47.8542;5.4982
2004;47.875;6.5299
2004;47.8958;7.2883
2004;47.9167;9.065
2004;47.9375;12.1928
2004;47.9583;11.0399
2004;47.9792;13.5981
2004;48;16.6363
2004;48.0208;19.6286
2004;48.0417;20.9135
2004;48.0625;15.4379
2004;48.0833;14.2361
2004;48.1042;15.2054
2004;48.125;14.9907
2004;48.1458;10.4247
2004;48.1667;-0.2629
2004;48.1875;3.0893
2004;48.2083;8.4825
2004;48.2292;7.9035
2004;48.25;1.7819
2004;48.2708;0.9773
2004;48.2917;-1.5609
2004;48.3125;0.6872
2004;48.3333;5.7363
2004;48.3542;10.1845
2004;48.375;18.5059
2004;48.3958;28.3485
2004;48.4167;31.25
2004;48.4375;67.7803
2004;48.4583;95.101
2004;48.4792;136.734
2004;48.5;77.7369
2004;48.5208;52.9475
2004;48.5417;23.4567
2004;48.5625;54.5497
2004;48.5833;33.5935
2004;48.6042;1.4989
2004;48.625;14.551
2004;48.6458;2.3282
