year;dectime;QgHFP
2004;53.2083;-65.4422
2004;53.2292;-70.046
2004;53.25;-64.1885
2004;53.2708;-56.7789
2004;53.2917;-8.9153
2004;53.3125;-23.7829
2004;53.3333;5.3164
2004;53.3542;47.9842
2004;53.375;27.9683
2004;53.3958;26.437
2004;53.4167;26.1023
2004;53.4375;36.4815
2004;53.4583;32.2147
2004;53.4792;28.6681
2004;53.5;7.419
2004;53.5208;18.3796
2004;53.5417;31.9718
2004;53.5625;5.3964
2004;53.5833;41.0107
2004;53.6042;41.2931
2004;53.625;27.8228
2004;53.6458;92.4537
2004;53.6667;44.3539
2004;53.6875;16.0494
2004;53.7083;5.084
2004;53.7292;-22.0911
2004;53.75;-20.6744
2004;53.7708;-11.0963
2004;53.7917;-4.2173
2004;53.8125;-1.7986
2004;53.8333;-1.0526
2004;53.8542;-1.08
2004;53.875;-0.9771
2004;53.8958;-0.3924
2004;53.9167;-1.3316
2004;53.9375;-1.3527
2004;53.9583;-1.7338
2004;53.9792;-1.4023
2004;54;-1.6798
2004;54.0208;-1.9682
2004;54.0417;-2.5022
2004;54.0625;-2.2071
2004;54.0833;-3.2153
2004;54.1042;-5.9429
2004;54.125;-4.9516
2004;54.1458;-6.2913
2004;54.1667;-7.0991
2004;54.1875;-2.4389
2004;54.2083;-3.1138
2004;54.2292;-8.7137
2004;54.25;-6.1161
2004;54.2708;-8.5306
2004;54.2917;-4.5149
2004;54.3125;-1.8357
2004;54.3333;-0.8172
2004;54.3542;-2.8269
2004;54.375;-9.2915
2004;54.3958;1.9959
2004;54.4167;4.2562
2004;54.4375;4.461
2004;54.4583;4.8807
2004;54.4792;2.9214
2004;54.5;1.666
2004;54.5208;-0.4316
2004;54.5417;1.1054
2004;54.5625;8.1024
2004;54.5833;14.5964
2004;54.6042;21.6788
2004;54.625;17.613
2004;54.6458;-8.9455
2004;54.6667;-9.4938
2004;54.6875;-8.9478
2004;54.7083;-17.3305
2004;54.7292;-52.6799
2004;54.75;-42.8206
2004;54.7708;-30.2494
2004;54.7917;-35.5778
2004;54.8125;-70.6799
2004;54.8333;-74.4103
2004;54.8542;-71.7593
2004;54.875;-73.2174
2004;54.8958;-73.4725
2004;54.9167;-70.5681
2004;54.9375;NaN
2004;54.9583;-78.1177
2004;54.9792;-68.4978
2004;55;-48.6989
2004;55.0208;-41.3476
2004;55.0417;-35.2719
2004;55.0625;-29.4465
2004;55.0833;-26.4458
2004;55.1042;-15.5999
2004;55.125;-15.956
2004;55.1458;-10.6274
2004;55.1667;23.0376
2004;55.1875;19.9693
2004;55.2083;15.7807
2004;55.2292;12.5299
2004;55.25;11.2567
2004;55.2708;8.7609
2004;55.2917;7.4976
2004;55.3125;7.1857
2004;55.3333;3.5797
2004;55.3542;3.7068
2004;55.375;4.5327
2004;55.3958;1.5208
2004;55.4167;1.4111
2004;55.4375;6.2106
2004;55.4583;6.7639
2004;55.4792;75.9134
2004;55.5;47.0454
2004;55.5208;125.673
2004;55.5417;162.457
2004;55.5625;128.525
2004;55.5833;49.0604
2004;55.6042;28.9843
2004;55.625;19.1869
2004;55.6458;-13.6929
2004;55.6667;-21.3429
2004;55.6875;-27.6454
2004;55.7083;-46.3752
2004;55.7292;-44.2102
2004;55.75;-33.8564
2004;55.7708;-8.9622
2004;55.7917;-14.2123
2004;55.8125;5.6312
2004;55.8333;-17.0189
2004;55.8542;18.2683
2004;55.875;-4.8421
2004;55.8958;-9.3891
2004;55.9167;-0.6467
2004;55.9375;-6.1117
2004;55.9583;-4.7296
2004;55.9792;13.6442
2004;56;NaN
2004;56.0208;1.1827
2004;56.0417;-12.4938
2004;56.0625;-12.3165
2004;56.0833;-2.8559
2004;56.1042;6.6071
2004;56.125;-4.9714
2004;56.1458;-5.9064
2004;56.1667;-15.693
2004;56.1875;-21.834
2004;56.2083;-33.22
2004;56.2292;-37.3318
2004;56.25;-33.0097
2004;56.2708;-30.3889
2004;56.2917;-24.4367
2004;56.3125;-37.0721
2004;56.3333;-24.0482
2004;56.3542;8.2667
2004;56.375;22.8817
2004;56.3958;36.5106
2004;56.4167;61.2559
2004;56.4375;66.8746
2004;56.4583;-24.7134
2004;56.4792;12.1438
2004;56.5;40.9119
2004;56.5208;-3.3871
2004;56.5417;72.8781
2004;56.5625;28.549
2004;56.5833;28.2421
2004;56.6042;5.3232
2004;56.625;40.3474
2004;56.6458;46.4083
2004;56.6667;46.9114
2004;56.6875;-11.4567
2004;56.7083;-38.8682
2004;56.7292;-59.6818
2004;56.75;-21.7581
2004;56.7708;-55.4158
2004;56.7917;-18.9288
2004;56.8125;-4.6497
2004;56.8333;18.4511
2004;56.8542;NaN
2004;56.875;NaN
2004;56.8958;-16.2742
2004;56.9167;-28.9201
2004;56.9375;-1.5794
2004;56.9583;-0.459
2004;56.9792;-13.3185
2004;57;-31.5513
2004;57.0208;-31.8006
2004;57.0417;-38.6339
2004;57.0625;-52.7701
2004;57.0833;-49.6143
2004;57.1042;-43.4751
2004;57.125;-51.9265
2004;57.1458;-25.5342
2004;57.1667;-10.8326
2004;57.1875;-9.0699
2004;57.2083;-4.085
2004;57.2292;-9.719
2004;57.25;-4.2275
2004;57.2708;-7.5762
2004;57.2917;1.6863
2004;57.3125;15.4296
2004;57.3333;24.9771
2004;57.3542;26.0669
2004;57.375;54.2556
2004;57.3958;60.4029
2004;57.4167;55.3454
2004;57.4375;112.539
2004;57.4583;92.0164
2004;57.4792;87.5453
2004;57.5;113.535
2004;57.5208;98.2694
2004;57.5417;109.632
2004;57.5625;82.6853
2004;57.5833;84.3142
2004;57.6042;-4.9969
2004;57.625;52.1153
2004;57.6458;-18.3675
2004;57.6667;-38.3694
2004;57.6875;-44.5444
2004;57.7083;-65.5315
2004;57.7292;-77.0397
2004;57.75;-59.6283
2004;57.7708;-39.9425
2004;57.7917;-35.3661
2004;57.8125;-19.3552
2004;57.8333;-11.6
2004;57.8542;-7.6859
2004;57.875;-33.8142
2004;57.8958;13.8483
2004;57.9167;-14.0397
2004;57.9375;-9.0932
2004;57.9583;-24.5847
2004;57.9792;-46.8233
2004;58;-49.3117
2004;58.0208;-48.6406
2004;58.0417;-33.1249
2004;58.0625;-62.756
2004;58.0833;-58.1037
2004;58.1042;-41.7878
2004;58.125;-14.6974
2004;58.1458;-42.6354
2004;58.1667;-61.3325
2004;58.1875;-31.1751
2004;58.2083;-0.6336
2004;58.2292;-19.3294
2004;58.25;25.0556
2004;58.2708;21.8986
2004;58.2917;-0.9535
2004;58.3125;-11.9782
2004;58.3333;0.7712
2004;58.3542;9.1425
2004;58.375;-0.7171
