1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
Code	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
60240502.0	0.49999999100000003	0.4000000072	0.4000000072	0.29999999940000005	0.29999999940000005	0.4000000072	0.5999999988000001	0.7999999904000001	1.000000006	1.1999999976000002	1.3000000054000003	1.3999999892000001	1.4999999970000002	1.6000000048000003	1.6000000048000003	1.6000000048000003	1.6000000048000003	1.6000000048000003	1.3999999892000001	1.3000000054000003	1.0999999898000001	0.8999999982000001	0.7000000066000001	0.49999999100000003
60240503.0	0.19999999200000004	0.10000000800000002	0.10000000800000002	0.19999999200000004	0.49999999200000006	0.7999999920000002	1.000000008	1.3000000080000003	1.6999999920000002	1.5000000000000002	1.3999999920000001	1.3000000080000003	1.3000000080000003	1.3999999920000001	1.3999999920000001	1.5000000000000002	1.6000000080000003	1.8000000000000003	1.3999999920000001	1.000000008	0.7999999920000002	0.7000000080000001	0.6000000000000001	0.4000000080000001
60240042.0	1.0	1.0	1.0	1.0	1.0	1.0	1.5	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.5	1.0
60240043.0	1.0	1.0	1.0	1.0	1.0	1.0	1.5	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.5	1.0
60240006.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
60240007.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
60240000.0	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.12	0.12	0.12	0.12	0.03	0.03	0.03	0.03
60240001.0	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.05	0.05	0.05	0.05	0.04	0.04	0.04	0.04
-9.0																								
-9.0																								
