1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24		
Code	AlbedoMin	AlbedoMax	Emissivity	StorageMin	StorageMax	WetThreshold	StateLimit	DrainageEq	DrainageCoef1	DrainageCoef2	SoilTypeCode	SnowLimPatch	SnowLimRemove	OHMThresh_SW	OHMThresh_WD	ESTMCode	AnOHM_Cp	AnOHM_Kk	AnOHM_Ch	OHMCode_SummerWet	OHMCode_SummerDry	OHMCode_WinterWet	OHMCode_WinterDry		
20242923.0	0.12331137449449225	0.12331137449449225	0.91	0.25	0.25	0.25	-999.0	3.0	10.0	3.0	22240040.0	190.0	90.0	10.0	0.9	-999.0	-999.0	-999.0	-999.0	50240024.0	50240024.0	50240024.0	50240024.0	!	Buildings, aggregated from X(fraction) Y(fracion) Z(fraction). Used in Grid No. 12
20243213.0	0.19298886647422164	0.19298886647422164	0.91	0.25	0.25	0.25	-999.0	3.0	10.0	3.0	22240040.0	190.00000000000003	90.0	10.0	0.9	-999.0	-999.0	-999.0	-999.0	50240002.0	50240002.0	50240002.0	50240002.0	!	Buildings, aggregated from X(fraction) Y(fracion) Z(fraction). Used in Grid No. 15
20243588.0	0.1535551020667268	0.1535551020667268	0.91	0.25	0.25	0.25	-999.0	3.0	10.0	3.0	22240040.0	190.0	90.0	10.0	0.9	-999.0	-999.0	-999.0	-999.0	50240024.0	50240024.0	50240024.0	50240024.0	!	Buildings, aggregated from X(fraction) Y(fracion) Z(fraction). Used in Grid No. 6
20244549.0	0.09	0.09	0.9481122271811983	0.48	0.48	0.48	-999.0	3.0	10.0	3.0	22240040.0	190.0	90.0	10.0	0.9	-999.0	-999.0	-999.0	-999.0	50240001.0	50240001.0	50240001.0	50240001.0	!	Paved, aggregated from X(fraction) Y(fracion) Z(fraction). Used in Grid No. 10
20244872.0	0.09	0.09	0.9277968510765497	0.48	0.48	0.48	-999.0	3.0	10.0	3.0	22240040.0	190.0	90.0	10.0	0.9	-999.0	-999.0	-999.0	-999.0	50240001.0	50240001.0	50240001.0	50240001.0	!	Paved, aggregated from X(fraction) Y(fracion) Z(fraction). Used in Grid No. 9
20245362.0	0.12244329413016186	0.12244329413016186	0.9100000000000001	0.25	0.25	0.25	-999.0	3.0	10.0	3.0	22240040.0	190.0	90.0	10.0	0.9	-999.0	-999.0	-999.0	-999.0	50240002.0	50240002.0	50240002.0	50240002.0	!	Buildings, aggregated from X(fraction) Y(fracion) Z(fraction). Used in Grid No. 10
20246059.0	0.1832291991809818	0.1832291991809818	0.91	0.25	0.25	0.25	-999.0	3.0	10.0	3.0	22240040.0	190.0	90.0	10.0	0.9	-999.0	-999.0	-999.0	-999.0	50240002.0	50240002.0	50240002.0	50240002.0	!	Buildings, aggregated from X(fraction) Y(fracion) Z(fraction). Used in Grid No. 9
20246592.0	0.09	0.09	0.9327127952108045	0.48000000000000004	0.48000000000000004	0.48000000000000004	-999.0	3.0	10.0	3.0	22240040.0	190.0	90.00000000000001	10.0	0.9	-999.0	-999.0	-999.0	-999.0	50240001.0	50240001.0	50240001.0	50240001.0	!	Paved, aggregated from X(fraction) Y(fracion) Z(fraction). Used in Grid No. 3
20247190.0	0.17338641756038395	0.17338641756038395	0.9100000000000001	0.25	0.25	0.25	-999.0	3.0	10.0	3.0	22240040.0	190.0	90.00000000000001	10.0	0.9	-999.0	-999.0	-999.0	-999.0	50240024.0	50240024.0	50240024.0	50240024.0	!	Buildings, aggregated from X(fraction) Y(fracion) Z(fraction). Used in Grid No. 3
20247245.0	0.09	0.09	0.9285484456924893	0.48	0.48	0.48	-999.0	3.0	10.0	3.0	22240040.0	190.0	90.0	10.0	0.9	-999.0	-999.0	-999.0	-999.0	50240001.0	50240001.0	50240001.0	50240001.0	!	Paved, aggregated from X(fraction) Y(fracion) Z(fraction). Used in Grid No. 5
