 z  paib bScale paiv vScale 
  0 0.323 7.206 0.131 3.610
  1 0.323 20.320 0.131 4.645
  2 0.323 24.536 0.117 6.208
  3 0.319 28.816 0.105 7.713
  4 0.313 29.798 0.092 9.653
  5 0.302 29.863 0.079 12.061
  6 0.278 28.907 0.068 14.638
  7 0.270 28.620 0.056 17.992
  8 0.256 29.448 0.048 21.533
  9 0.245 29.402 0.040 27.216
 10 0.238 30.378 0.033 30.412
 11 0.204 52.834 0.027 34.545
 12 0.159 88.394 0.021 40.241
 13 0.109 97.318 0.016 45.714
 14 0.060 103.968 0.012 54.964
 15 0.032 118.503 0.008 70.720
 16 0.021 115.448 0.006 100.556
 17 0.012 132.136 0.003 134.750
 18 0.006 135.692 0.002 130.500
 19 0.004 186.571 0.001 79.200
 20 0.003 352.800 0.000 0.000
 21 0.001 0.000 0.000 0.000
 22 0.000 0.000 0.000 0.000
 23 0.000 0.000 0.000 0.000
