 z  paib bScale paiv vScale 
  0 0.170 7.837 0.336 3.957
  1 0.170 11.884 0.336 5.189
  2 0.170 13.626 0.266 7.411
  3 0.150 15.777 0.222 10.480
  4 0.133 16.977 0.190 14.812
  5 0.114 18.868 0.166 20.435
  6 0.091 21.595 0.146 26.953
  7 0.052 23.478 0.127 34.685
  8 0.036 23.938 0.110 41.956
  9 0.029 23.314 0.093 55.758
 10 0.027 23.139 0.077 65.275
 11 0.026 23.485 0.063 70.669
 12 0.013 131.213 0.050 80.212
 13 0.000 19.556 0.038 98.885
 14 0.000 0.000 0.028 116.933
