 z  paib bScale paiv vScale 
  0 0.122 13.423 0.136 3.554
  1 0.122 19.343 0.136 4.530
  2 0.122 21.591 0.111 6.191
  3 0.115 26.059 0.097 8.357
  4 0.109 30.155 0.082 10.916
  5 0.100 30.785 0.068 14.317
  6 0.094 31.293 0.056 18.029
  7 0.088 31.454 0.046 21.688
  8 0.070 31.650 0.037 24.552
  9 0.051 27.007 0.029 27.856
 10 0.039 24.055 0.024 31.697
 11 0.031 37.400 0.020 35.361
 12 0.019 70.840 0.017 38.411
 13 0.008 85.806 0.014 38.460
 14 0.002 64.000 0.012 40.021
 15 0.000 10.769 0.010 39.583
 16 0.000 8.000 0.008 38.609
 17 0.000 0.000 0.007 37.915
