Wd Paved Buildings EvergreenTrees DecidiousTrees Grass Baresoil Water
  0 0.579 0.221 0.000 0.201 0.000 0.000 0.000
  5 0.565 0.315 0.000 0.090 0.030 0.000 0.000
 10 0.441 0.290 0.000 0.250 0.020 0.000 0.000
 15 0.479 0.271 0.000 0.213 0.036 0.000 0.000
 20 0.487 0.258 0.000 0.194 0.061 0.000 0.000
 25 0.538 0.267 0.000 0.137 0.059 0.000 0.000
 30 0.580 0.218 0.000 0.155 0.048 0.000 0.000
 35 0.504 0.191 0.000 0.214 0.091 0.000 0.000
 40 0.520 0.204 0.002 0.143 0.131 0.000 0.000
 45 0.438 0.253 0.000 0.082 0.228 0.000 0.000
 50 0.368 0.262 0.029 0.112 0.229 0.000 0.000
 55 0.455 0.239 0.000 0.091 0.216 0.000 0.000
 60 0.322 0.292 0.000 0.098 0.288 0.000 0.000
 65 0.346 0.228 0.000 0.130 0.296 0.000 0.000
 70 0.442 0.267 0.000 0.121 0.170 0.000 0.000
 75 0.387 0.269 0.000 0.155 0.189 0.000 0.000
 80 0.295 0.265 0.000 0.109 0.332 0.000 0.000
 85 0.345 0.215 0.000 0.130 0.310 0.000 0.000
 90 0.346 0.093 0.000 0.211 0.351 0.000 0.000
 95 0.223 0.225 0.050 0.193 0.310 0.000 0.000
100 0.359 0.238 0.035 0.111 0.257 0.000 0.000
105 0.438 0.203 0.051 0.111 0.196 0.000 0.000
110 0.400 0.161 0.000 0.156 0.284 0.000 0.000
115 0.353 0.153 0.000 0.164 0.330 0.000 0.000
120 0.346 0.242 0.000 0.122 0.290 0.000 0.000
125 0.395 0.165 0.000 0.111 0.329 0.000 0.000
130 0.310 0.258 0.000 0.137 0.295 0.000 0.000
135 0.402 0.224 0.000 0.169 0.205 0.000 0.000
140 0.487 0.250 0.000 0.096 0.166 0.000 0.000
145 0.512 0.214 0.000 0.158 0.115 0.000 0.000
150 0.560 0.196 0.000 0.137 0.107 0.000 0.000
155 0.526 0.207 0.000 0.132 0.134 0.000 0.000
160 0.570 0.168 0.000 0.104 0.158 0.000 0.000
165 0.586 0.087 0.000 0.184 0.143 0.000 0.000
170 0.564 0.106 0.000 0.168 0.161 0.000 0.000
175 0.647 0.160 0.000 0.140 0.052 0.000 0.000
180 0.579 0.221 0.000 0.201 0.000 0.000 0.000
185 0.605 0.282 0.000 0.098 0.015 0.000 0.000
190 0.515 0.290 0.000 0.193 0.002 0.000 0.000
195 0.479 0.271 0.000 0.213 0.036 0.000 0.000
200 0.487 0.258 0.000 0.194 0.061 0.000 0.000
205 0.560 0.248 0.000 0.144 0.048 0.000 0.000
210 0.575 0.222 0.000 0.155 0.048 0.000 0.000
215 0.490 0.200 0.000 0.218 0.093 0.000 0.000
220 0.511 0.197 0.006 0.156 0.131 0.000 0.000
225 0.425 0.256 0.004 0.089 0.226 0.000 0.000
230 0.351 0.264 0.025 0.129 0.231 0.000 0.000
235 0.451 0.251 0.000 0.091 0.208 0.000 0.000
240 0.329 0.290 0.000 0.098 0.283 0.000 0.000
245 0.355 0.241 0.000 0.121 0.282 0.000 0.000
250 0.442 0.267 0.000 0.121 0.170 0.000 0.000
255 0.387 0.269 0.000 0.155 0.189 0.000 0.000
260 0.332 0.255 0.000 0.092 0.322 0.000 0.000
265 0.315 0.205 0.000 0.142 0.338 0.000 0.000
270 0.346 0.093 0.000 0.211 0.351 0.000 0.000
275 0.253 0.247 0.020 0.198 0.282 0.000 0.000
280 0.342 0.223 0.030 0.121 0.285 0.000 0.000
285 0.438 0.203 0.051 0.111 0.196 0.000 0.000
290 0.400 0.161 0.000 0.156 0.284 0.000 0.000
295 0.333 0.153 0.000 0.164 0.351 0.000 0.000
300 0.342 0.244 0.000 0.124 0.290 0.000 0.000
305 0.393 0.173 0.000 0.101 0.333 0.000 0.000
310 0.306 0.256 0.000 0.141 0.297 0.000 0.000
315 0.409 0.217 0.000 0.165 0.208 0.000 0.000
320 0.495 0.247 0.000 0.100 0.158 0.000 0.000
325 0.512 0.206 0.000 0.165 0.117 0.000 0.000
330 0.562 0.194 0.000 0.137 0.107 0.000 0.000
335 0.522 0.214 0.000 0.123 0.141 0.000 0.000
340 0.570 0.168 0.000 0.104 0.158 0.000 0.000
345 0.586 0.087 0.000 0.184 0.143 0.000 0.000
350 0.574 0.109 0.000 0.176 0.141 0.000 0.000
355 0.647 0.160 0.000 0.113 0.080 0.000 0.000
