 z  paib bScale paiv vScale 
  0 0.101 12.431 0.086 3.713
  1 0.101 18.457 0.086 4.898
  2 0.101 24.027 0.075 6.897
  3 0.098 28.865 0.062 8.699
  4 0.084 29.507 0.053 10.187
  5 0.076 29.643 0.047 12.535
  6 0.065 27.402 0.042 14.649
  7 0.058 28.249 0.036 16.691
  8 0.049 25.127 0.031 17.765
  9 0.047 25.950 0.026 19.418
 10 0.046 26.640 0.022 20.499
 11 0.044 29.598 0.018 20.587
 12 0.039 30.631 0.015 21.263
 13 0.037 29.537 0.012 21.302
 14 0.035 28.250 0.008 21.500
 15 0.035 28.452 0.006 23.370
 16 0.035 28.519 0.005 24.033
 17 0.033 32.219 0.003 22.204
 18 0.029 29.477 0.002 22.892
 19 0.024 29.111 0.001 21.949
 20 0.015 22.611 0.001 15.826
 21 0.007 23.200 0.000 9.091
 22 0.005 24.519 0.000 0.000
 23 0.004 22.319 0.000 0.000
 24 0.004 22.373 0.000 0.000
 25 0.004 22.621 0.000 0.000
 26 0.004 23.321 0.000 0.000
 27 0.004 23.963 0.000 0.000
 28 0.004 27.056 0.000 0.000
 29 0.003 21.682 0.000 0.000
 30 0.003 26.323 0.000 0.000
 31 0.002 26.000 0.000 0.000
 32 0.002 25.793 0.000 0.000
 33 0.002 25.793 0.000 0.000
 34 0.002 25.793 0.000 0.000
 35 0.002 25.793 0.000 0.000
 36 0.002 25.793 0.000 0.000
 37 0.002 26.175 0.000 0.000
 38 0.002 27.127 0.000 0.000
 39 0.002 27.127 0.000 0.000
 40 0.002 27.127 0.000 0.000
 41 0.002 27.055 0.000 0.000
 42 0.002 27.055 0.000 0.000
 43 0.002 27.055 0.000 0.000
 44 0.002 27.055 0.000 0.000
 45 0.002 27.055 0.000 0.000
 46 0.002 29.760 0.000 0.000
 47 0.002 31.000 0.000 0.000
 48 0.002 65.273 0.000 0.000
 49 0.002 72.941 0.000 0.000
 50 0.002 72.000 0.000 0.000
 51 0.002 62.750 0.000 0.000
 52 0.001 41.500 0.000 0.000
 53 0.001 131.200 0.000 0.000
 54 0.001 0.000 0.000 0.000
 55 0.001 0.000 0.000 0.000
 56 0.001 0.000 0.000 0.000
 57 0.000 0.000 0.000 0.000
 58 0.000 0.000 0.000 0.000
