Wd Paved Buildings EvergreenTrees DecidiousTrees Grass Baresoil Water
  0 0.411 0.559 0.000 0.010 0.020 0.000 0.000
  5 0.390 0.560 0.000 0.010 0.040 0.000 0.000
 10 0.468 0.505 0.000 0.010 0.017 0.000 0.000
 15 0.400 0.508 0.000 0.027 0.065 0.000 0.000
 20 0.329 0.565 0.000 0.021 0.085 0.000 0.000
 25 0.444 0.478 0.000 0.009 0.068 0.000 0.000
 30 0.536 0.410 0.000 0.007 0.048 0.000 0.000
 35 0.502 0.311 0.000 0.023 0.165 0.000 0.000
 40 0.507 0.297 0.000 0.025 0.171 0.000 0.000
 45 0.448 0.290 0.000 0.066 0.169 0.002 0.025
 50 0.434 0.355 0.000 0.019 0.123 0.019 0.050
 55 0.467 0.323 0.000 0.004 0.150 0.023 0.033
 60 0.514 0.211 0.000 0.046 0.176 0.022 0.031
 65 0.487 0.251 0.000 0.057 0.150 0.034 0.021
 70 0.331 0.291 0.000 0.085 0.243 0.031 0.019
 75 0.462 0.242 0.000 0.041 0.191 0.031 0.031
 80 0.470 0.265 0.000 0.040 0.168 0.037 0.020
 85 0.410 0.280 0.000 0.048 0.220 0.020 0.022
 90 0.291 0.476 0.000 0.020 0.163 0.030 0.020
 95 0.302 0.395 0.000 0.050 0.220 0.022 0.010
100 0.334 0.381 0.000 0.000 0.250 0.025 0.010
105 0.322 0.392 0.000 0.048 0.179 0.036 0.022
110 0.456 0.270 0.000 0.047 0.189 0.019 0.019
115 0.437 0.342 0.000 0.041 0.139 0.021 0.021
120 0.407 0.394 0.000 0.031 0.133 0.015 0.020
125 0.434 0.377 0.000 0.037 0.105 0.027 0.021
130 0.486 0.291 0.000 0.067 0.096 0.040 0.019
135 0.377 0.322 0.000 0.114 0.148 0.021 0.018
140 0.374 0.281 0.000 0.098 0.208 0.015 0.023
145 0.358 0.337 0.000 0.080 0.158 0.037 0.029
150 0.425 0.357 0.000 0.000 0.137 0.050 0.031
155 0.503 0.351 0.000 0.021 0.077 0.048 0.000
160 0.440 0.388 0.000 0.028 0.109 0.035 0.000
165 0.484 0.407 0.000 0.029 0.048 0.031 0.000
170 0.408 0.490 0.000 0.040 0.037 0.025 0.000
175 0.562 0.357 0.000 0.020 0.060 0.000 0.000
180 0.411 0.559 0.000 0.010 0.020 0.000 0.000
185 0.400 0.550 0.000 0.010 0.040 0.000 0.000
190 0.475 0.475 0.000 0.012 0.037 0.000 0.000
195 0.400 0.508 0.000 0.027 0.065 0.000 0.000
200 0.329 0.565 0.000 0.021 0.085 0.000 0.000
205 0.437 0.492 0.000 0.011 0.059 0.000 0.000
210 0.540 0.410 0.000 0.004 0.046 0.000 0.000
215 0.525 0.294 0.000 0.021 0.160 0.000 0.000
220 0.524 0.287 0.000 0.027 0.162 0.000 0.000
225 0.450 0.295 0.000 0.052 0.174 0.005 0.023
230 0.434 0.351 0.000 0.013 0.125 0.025 0.052
235 0.479 0.311 0.000 0.004 0.146 0.029 0.031
240 0.512 0.214 0.000 0.046 0.176 0.022 0.031
245 0.472 0.269 0.000 0.050 0.157 0.032 0.021
250 0.331 0.291 0.000 0.085 0.243 0.031 0.019
255 0.462 0.242 0.000 0.041 0.191 0.031 0.031
260 0.423 0.290 0.000 0.050 0.188 0.030 0.020
265 0.410 0.275 0.000 0.060 0.203 0.022 0.030
270 0.291 0.476 0.000 0.020 0.163 0.030 0.020
275 0.305 0.372 0.000 0.040 0.242 0.020 0.020
280 0.319 0.386 0.000 0.000 0.245 0.030 0.020
285 0.322 0.392 0.000 0.048 0.179 0.036 0.022
290 0.456 0.270 0.000 0.047 0.189 0.019 0.019
295 0.453 0.335 0.000 0.048 0.118 0.025 0.021
300 0.407 0.392 0.000 0.031 0.133 0.017 0.020
305 0.449 0.356 0.000 0.031 0.115 0.029 0.021
310 0.493 0.287 0.000 0.052 0.118 0.031 0.019
315 0.395 0.315 0.000 0.126 0.128 0.021 0.014
320 0.385 0.281 0.000 0.104 0.193 0.013 0.023
325 0.360 0.335 0.000 0.068 0.163 0.045 0.029
330 0.427 0.357 0.000 0.000 0.137 0.050 0.028
335 0.522 0.339 0.000 0.018 0.080 0.041 0.000
340 0.440 0.388 0.000 0.028 0.109 0.035 0.000
345 0.484 0.407 0.000 0.029 0.048 0.031 0.000
350 0.408 0.502 0.000 0.037 0.040 0.012 0.000
355 0.517 0.415 0.000 0.020 0.048 0.000 0.000
